gamesId,anGameId,gameDate,matchup,seq,completed,schedStatus,fg_proj,fg_ml_book,fg_total_book,fg_rl_book,fg_actual,fg_graded_games,f5_proj,f5_total_proj,f5_book,f5_actual,f5_graded_games,nrfi_proj,nrfi_book,nrfi_actual,nrfi_graded_games,teamhr_proj,k_props,k_proj,k_line,k_actual,k_graded,hr_props,hr_proj,hr_actual,hr_graded,bt_rows,bt_settled,bt_no_action,bt_quarantined,bt_with_clv,bt_with_closing,outcomeIngested
2250131,286184,2026-04-05,HOU@ATH,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250121,286174,2026-04-05,LAD@WSH,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,18,18,18,18,15,0,1,14,0,0,0
2250124,286175,2026-04-05,MIA@NYY,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,0,18,18,18,18,15,0,1,14,0,0,0
2250128,286179,2026-04-05,MIL@KC,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250132,286185,2026-04-05,NYM@SF,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250130,286183,2026-04-05,PHI@COL,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,18,18,18,18,15,0,1,14,0,0,0
2250123,286176,2026-04-05,SD@BOS,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250133,286186,2026-04-05,SEA@LAA,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250134,286188,2026-04-05,STL@DET,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,18,18,18,18,15,0,1,14,0,0,0
2250126,286180,2026-04-05,TB@MIN,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250127,286181,2026-04-05,TOR@CWS,1,1,complete,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,2,2,2,18,18,18,18,15,0,1,14,0,0,0
2250146,286268,2026-04-06,ATL@LAA,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,0,0,0,0,14,0,0,14,0,0,0
2250143,286264,2026-04-06,BAL@CWS,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,19,19,0,19,15,0,0,14,0,0,0
2250135,286257,2026-04-06,CHC@TB,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,18,18,0,18,15,0,0,14,0,0,0
2250138,286260,2026-04-06,CIN@MIA,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,18,18,0,18,15,0,0,14,0,0,0
2250142,286265,2026-04-06,DET@MIN,1,1,complete,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,2,2,2,2,2,20,20,0,20,15,0,0,14,0,0,0
