gameId,gameDate,month,mlbGamePk,awayTeam,homeTeam,venue,parkFactor3yr,roof,doubleHeader,gameNumber,startET,localHour,dayNight,aScore,hScore,totalActual,homeWin,lineOu,lineSrc,p1_pAwayMl,p1_projTotal,p1_pOver,p1_projAway,p1_projHome,p1_pAwayRl,p2_pAwayMl,p2_projTotal,p2_pOver,envMultUsed,TfgUsed,totalSdUsed
2250086,2026-04-01,2026-04,824698,LAA,CHC,Wrigley Field,1.005140346320558,open,N,1,14.333,13.333,day,2,6,8.0,1,6.0,games.bookTotal,0.37400,8.570,0.67840,3.750,4.820,0.53550,0.37400,8.570,0.67840,1.0,1.0,4.5
2250087,2026-04-01,2026-04,823321,SF,SD,Petco Park,0.8944051349677884,open,N,1,16.167,13.167,day,1,7,8.0,1,8.0,games.bookTotal,0.40480,7.420,0.38800,3.380,4.040,0.57930,0.40480,7.420,0.38800,1.0,1.0,4.5
2250088,2026-04-01,2026-04,823157,NYY,SEA,T-Mobile Park,0.8411265978531404,roof,N,1,16.167,13.167,day,5,3,8.0,0,7.0,games.bookTotal,0.45740,7.350,0.47640,3.610,3.740,0.34930,0.45740,7.350,0.47640,1.0,1.0,4.5
2250089,2026-04-01,2026-04,824136,MIN,KC,Kauffman Stadium,0.998168321517966,open,N,1,19.667,18.667,night,9,13,22.0,1,8.0,games.bookTotal,0.42400,8.010,0.44340,3.760,4.260,0.32670,0.42400,8.010,0.44340,1.0,1.0,4.5
2250090,2026-04-01,2026-04,823970,CLE,LAD,Dodger Stadium,1.0009612737608329,open,N,1,20.333,17.333,night,4,1,5.0,0,8.0,games.bookTotal,0.36620,8.290,0.46850,3.570,4.720,0.53050,0.36620,8.290,0.46850,1.0,1.0,4.5
2252360,2026-04-01,2026-04,825106,DET,ARI,Chase Field,1.0804533346607728,roof,N,1,15.667,12.667,day,0,1,1.0,1,7.5,games.bookTotal,0.48950,9.060,0.57440,4.650,4.420,0.39840,0.48950,9.060,0.57440,1.0,1.0,4.5
2250091,2026-04-02,2026-04,824133,MIN,KC,Kauffman Stadium,0.998168321517966,open,N,1,14.167,13.167,day,5,1,6.0,0,9.5,games.bookTotal,0.40030,8.500,0.35780,3.850,4.650,0.55950,0.40030,8.500,0.35780,1.0,1.0,4.5
2250093,2026-04-02,2026-04,823242,NYM,SF,Oracle Park,0.9410097101514341,open,N,1,21.75,18.75,night,2,7,9.0,1,8.0,games.bookTotal,0.42540,7.990,0.44100,3.760,4.230,0.32890,0.42540,7.990,0.44100,1.0,1.0,4.5
2252367,2026-04-02,2026-04,825105,ATL,ARI,Chase Field,1.0804533346607728,roof,N,1,21.667,18.667,night,17,2,19.0,0,9.0,games.bookTotal,0.33270,10.610,0.56860,4.380,6.230,0.26940,0.33270,10.610,0.56860,1.0,1.0,4.5
2250092,2026-04-03,2026-04,824621,TOR,CWS,Rate Field,0.9534515889611959,open,N,1,16.167,15.167,day,4,5,9.0,1,,none,0.45830,8.430,0.44210,4.150,4.290,0.61530,0.45830,8.430,0.44210,1.0,1.0,4.5
2250094,2026-04-03,2026-04,822758,LAD,WSH,Nationals Park,1.1534896468268556,open,N,1,13.083,13.083,day,13,6,19.0,0,9.5,games.bookTotal,0.54810,9.700,0.45720,5.350,4.350,0.46230,0.54810,9.700,0.45720,1.0,1.0,4.5
