gameId,gameDate,month,pAwayMl,pOver,pAwayRl,projAwayScore,projHomeScore,projTotal,additivity_abs_diff,core_violations,supp_violations
2250155,2026-04-07,2026-04,0.34750,0.39270,0.25080,2.930,4.140,7.060,0.010000,,
2250156,2026-04-07,2026-04,0.48920,0.53880,0.38010,3.820,3.610,7.420,0.010000,,
2250157,2026-04-07,2026-04,0.49540,0.51980,0.38220,3.750,3.470,7.220,0.000000,,
2250158,2026-04-07,2026-04,0.41170,0.36250,0.30100,3.110,3.660,6.770,0.000000,,
2250159,2026-04-07,2026-04,0.36890,0.57770,0.31030,5.660,7.340,13.000,0.000000,,
2250160,2026-04-07,2026-04,0.51920,0.41040,0.41560,4.310,3.770,8.080,0.000000,,
2250161,2026-04-07,2026-04,0.48890,0.40470,0.37560,3.680,3.490,7.180,0.010000,,
2250162,2026-04-08,2026-04,0.40440,0.55890,0.31320,3.770,4.480,8.250,0.000000,,
2250163,2026-04-08,2026-04,0.38690,0.54530,0.29610,3.610,4.510,8.120,0.000000,,
2250164,2026-04-08,2026-04,0.39510,0.57820,0.55630,3.830,4.660,8.490,0.000000,,
2250165,2026-04-08,2026-04,0.48460,0.45540,0.37870,3.940,3.780,7.720,0.000000,,
2250166,2026-04-08,2026-04,0.52630,0.29880,0.39060,3.320,2.820,6.140,0.000000,,
2250167,2026-04-08,2026-04,0.49880,0.54840,0.40460,4.550,4.210,8.760,0.000000,,
2250168,2026-04-08,2026-04,0.46730,0.47910,0.39230,5.680,5.790,11.470,0.000000,,
2250169,2026-04-08,2026-04,0.40950,0.38640,0.31270,3.590,4.230,7.820,0.000000,,
2250170,2026-04-08,2026-04,0.53900,0.50400,0.44540,4.990,4.180,9.170,0.000000,,
2250171,2026-04-08,2026-04,0.46640,0.35180,0.35800,3.710,3.740,7.440,0.010000,,
2250172,2026-04-08,2026-04,0.35630,0.42930,0.26790,3.330,4.530,7.860,0.000000,,
2250173,2026-04-08,2026-04,0.45980,0.46310,0.61890,4.050,4.170,8.230,0.010000,,
2250174,2026-04-08,2026-04,0.39200,0.50100,0.55050,3.880,4.770,8.660,0.010000,,
2250175,2026-04-08,2026-04,0.52160,0.49700,0.42330,4.600,4.010,8.620,0.010000,,
2250176,2026-04-09,2026-04,0.54310,0.39680,0.43570,4.360,3.580,7.940,0.000000,,
2250177,2026-04-09,2026-04,0.49940,0.45290,0.65650,4.220,3.900,8.120,0.000000,,
2250178,2026-04-09,2026-04,0.47560,0.58130,0.39070,4.860,4.790,9.650,0.000000,,
2250179,2026-04-09,2026-04,0.37260,0.31980,0.53820,3.490,4.560,8.050,0.000000,,
2250180,2026-04-09,2026-04,0.41790,0.41300,0.59300,3.380,3.900,7.280,0.000000,,
2250181,2026-04-10,2026-04,0.40660,0.60850,0.57110,3.760,4.440,8.210,0.010000,,
2250182,2026-04-10,2026-04,0.42300,0.44880,0.58260,3.990,4.510,8.500,0.000000,,
2250183,2026-04-10,2026-04,0.29130,0.46110,0.45010,3.300,5.380,8.680,0.000000,,
2250184,2026-04-10,2026-04,0.45130,0.41540,0.60680,4.220,4.430,8.650,0.000000,,
2250185,2026-04-10,2026-04,0.33680,0.47180,0.50110,3.420,4.910,8.330,0.000000,,
2250186,2026-04-10,2026-04,0.39280,0.47450,0.30380,3.750,4.610,8.360,0.000000,,
2250187,2026-04-10,2026-04,0.45890,0.47000,0.61260,4.310,4.440,8.760,0.010000,,
2250188,2026-04-10,2026-04,0.36210,0.37750,0.53350,3.300,4.440,7.730,0.010000,,
2250189,2026-04-10,2026-04,0.41570,0.47530,0.58230,3.680,4.260,7.930,0.010000,,
2250190,2026-04-10,2026-04,0.34950,0.46640,0.50920,3.670,5.050,8.720,0.000000,,
2250191,2026-04-10,2026-04,0.49620,0.53000,0.39040,4.100,3.820,7.920,0.000000,,
2250192,2026-04-10,2026-04,0.56560,0.44090,0.71540,4.510,3.480,7.980,0.010000,,
2250193,2026-04-10,2026-04,0.32060,0.31000,0.51160,2.600,4.010,6.610,0.000000,,
2250194,2026-04-10,2026-04,0.30560,0.47530,0.46310,3.450,5.390,8.850,0.010000,,
2250195,2026-04-11,2026-04,0.47780,0.56530,0.63520,4.210,4.120,8.330,0.000000,,
2250196,2026-04-11,2026-04,0.40170,0.50330,0.58170,3.200,3.860,7.060,0.000000,,
2250197,2026-04-11,2026-04,0.40620,0.47650,0.31570,3.840,4.540,8.380,0.000000,,
2250198,2026-04-11,2026-04,0.43200,0.40860,0.59000,4.070,4.490,8.560,0.000000,,
2250199,2026-04-11,2026-04,0.40100,0.53860,0.56030,3.930,4.710,8.640,0.000000,,
2250200,2026-04-11,2026-04,0.34090,0.32320,0.51560,3.120,4.470,7.590,0.000000,,
2250201,2026-04-11,2026-04,0.48230,0.33030,0.36380,3.470,3.350,6.820,0.000000,,
2250202,2026-04-11,2026-04,0.40090,0.43010,0.56960,3.570,4.300,7.870,0.000000,,
2250203,2026-04-11,2026-04,0.43630,0.59660,0.35210,4.470,4.870,9.350,0.010000,,
2250204,2026-04-11,2026-04,0.50760,0.51050,0.41240,4.610,4.170,8.770,0.010000,,
2250205,2026-04-11,2026-04,0.46880,0.39120,0.36090,3.720,3.730,7.440,0.010000,,
2250206,2026-04-11,2026-04,0.50790,0.51490,0.65240,4.870,4.410,9.280,0.000000,,
2250207,2026-04-11,2026-04,0.40350,0.42690,0.57210,3.570,4.260,7.830,0.000000,,
2250208,2026-04-11,2026-04,0.45920,0.40340,0.63170,3.540,3.640,7.180,0.000000,,
