gameId,gameDate,matchup,mlbGamePk,actualAway,actualHome,schedScore,linescoreScore,bookTotal,awayRunLine,modelAwayWinPct,modelOverRate,modelAwayScore,modelHomeScore,stored_fgMlResult,derived_fgMlResult,fgMl_status,stored_fgMlCorrect,derived_fgMlCorrect,stored_fgRlResult,derived_fgRlResult,fgRl_status,stored_fgRlCorrect,derived_fgRlCorrect,stored_fgTotalResult,derived_fgTotalResult,fgTotal_status,stored_fgTotalCorrect,derived_fgTotalCorrect,stored_brierFgMl,derived_brierFgMl_away,derived_brierFgMl_home,brierFgMl_status,stored_brierFgTotal,derived_brierFgTotal,brierFgTotal_status
2250066,2026-03-31,WSH@PHI 2026-03-31,823485,2,3,2-3,2-3,9.5,1.5,38.33,51,4.42,5.99,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,0,0,0.146919,0.146919,0.146919,match-away-base,0.2601,0.2601,match
2250067,2026-03-31,CWS@MIA 2026-03-31,823888,2,9,2-9,2-9,8.5,1.5,38.61,48.48,3.79,5.14,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,0,0,0.149073,0.149073,0.149073,match-away-base,0.265431,0.265431,match
2250068,2026-03-31,COL@TOR 2026-03-31,822836,1,5,1-5,1-5,8,1.5,45.19,65.38,5.02,5.67,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,0,0,0.204214,0.204214,0.204214,match-away-base,0.427454,0.427454,match
2250069,2026-03-31,ATH@ATL 2026-03-31,824942,5,2,5-2,5-2,9,1.5,41.25,41.05,3.8,4.8,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.345156,0.345156,0.345156,match-away-base,0.16851,0.16851,match
2250070,2026-03-31,LAA@CHC 2026-03-31,824699,2,0,2-0,2-0,7,1.5,39.96,56.16,3.58,4.7,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.36048,0.36048,0.36048,match-away-base,0.315395,0.315395,match
2250071,2026-03-31,TB@MIL 2026-03-31,823807,2,6,2-6,2-6,7.5,-1.5,41.56,58.44,4.09,5.11,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.172723,0.172723,0.172723,match-away-base,0.172723,0.172723,match
2250072,2026-03-31,NYM@STL 2026-03-31,823077,0,3,0-3,0-3,8.5,-1.5,52.26,53.44,4.91,4.63,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.273111,0.273111,0.273111,match-away-base,0.285583,0.285583,match
2250073,2026-03-31,BOS@HOU 2026-03-31,824212,2,9,2-9,2-9,7.5,1.5,43.71,51.55,3.84,4.54,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,1,1,0.191056,0.191056,0.191056,match-away-base,0.23474,0.23474,match
2250074,2026-03-31,SF@SD 2026-03-31,823322,9,3,9-3,9-3,7.5,-1.5,53.13,56.74,4.67,4.31,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,1,1,0.21968,0.21968,0.21968,match-away-base,0.187143,0.187143,match
2250075,2026-03-31,NYY@SEA 2026-03-31,823158,5,0,5-0,5-0,7,-1.5,49.72,50.1,3.79,3.82,LOSS,LOSS,match,0,0,LOSS,LOSS,match,0,0,UNDER,UNDER,match,0,0,0.252808,0.252808,0.252808,match-away-base,0.251001,0.251001,match
2250076,2026-03-31,CLE@LAD 2026-03-31,823969,1,4,1-4,1-4,8,1.5,39.87,41.46,3.32,4.39,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.158962,0.158962,0.158962,match-away-base,0.171893,0.171893,match
2252346,2026-03-31,DET@ARI 2026-03-31,825107,5,7,5-7,5-7,9.5,-1.5,45.97,50.81,4.91,5.46,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.211324,0.211324,0.211324,match-away-base,0.241966,0.241966,match
