game_id,mlb_game_pk,date,month,teams,game_no,series,sub_market,pick,prob,line,proj_value,actual,correct,brier,logloss,signed_error,abs_error,fav,day_night,allstar,leakage_quarantine,closing_source,score_source,note
2250019,823893,2026-03-27,2026-03,COL@MIA,1,live,RL,AWAY,,+1.5,-0.67,AWAY,1,,,0.33,0.33,home_fav,night,0,1,proxy,games,
2250019,823893,2026-03-27,2026-03,COL@MIA,1,live,TOTAL,UNDER,0.46520,8,8.00,UNDER,1,0.216411,0.625862,5.00,5.00,home_fav,night,0,1,proxy,games,
2250019,823893,2026-03-27,2026-03,COL@MIA,1,p1,ML,HOME,0.45990,163,,HOME,1,0.211508,0.616001,,,home_fav,night,0,0,proxy,games,
2250019,823893,2026-03-27,2026-03,COL@MIA,1,p1,RL,AWAY,0.61240,+1.5,-0.12,AWAY,1,0.150234,0.490370,0.88,0.88,home_fav,night,0,0,proxy,games,
2250019,823893,2026-03-27,2026-03,COL@MIA,1,p1,TOTAL,OVER,0.51860,8,8.88,UNDER,0,0.268946,0.731057,5.88,5.88,home_fav,night,0,0,proxy,games,
2250019,823893,2026-03-27,2026-03,COL@MIA,1,p2,ML,HOME,0.45990,163,,HOME,1,0.211508,0.616001,,,home_fav,night,0,0,proxy,games,
2250019,823893,2026-03-27,2026-03,COL@MIA,1,p2,RL,AWAY,0.61240,+1.5,-0.12,AWAY,1,0.150234,0.490370,0.88,0.88,home_fav,night,0,0,proxy,games,
2250019,823893,2026-03-27,2026-03,COL@MIA,1,p2,TOTAL,OVER,0.51860,8,8.88,UNDER,0,0.268946,0.731057,5.88,5.88,home_fav,night,0,0,proxy,games,
2250020,824946,2026-03-27,2026-03,KC@ATL,1,live,ML,HOME,0.40150,+113,,HOME,1,0.161202,0.513329,,,home_fav,night,0,1,proxy,games,
2250020,824946,2026-03-27,2026-03,KC@ATL,1,live,RL,AWAY,,+1.5,-1.06,HOME,0,,,4.94,4.94,home_fav,night,0,1,proxy,games,
2250020,824946,2026-03-27,2026-03,KC@ATL,1,live,TOTAL,UNDER,0.46290,7.5,7.50,UNDER,1,0.214276,0.621571,1.50,1.50,home_fav,night,0,1,proxy,games,
2250020,824946,2026-03-27,2026-03,KC@ATL,1,p1,ML,HOME,0.40350,113,,HOME,1,0.162812,0.516676,,,home_fav,night,0,0,proxy,games,
2250020,824946,2026-03-27,2026-03,KC@ATL,1,p1,RL,AWAY,0.56970,+1.5,-0.72,HOME,0,0.324558,0.843273,5.28,5.28,home_fav,night,0,0,proxy,games,
