game_id,date,teams,prop_id,market,sub_market,player,hand,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,actual_ks,correct,signed_error,abs_error,brier,logloss,completed,notes,stored_result,stored_correct,stored_error,verdict
2251382,2026-07-18,SD@KC,1920025,K_PROP,home,Noah Cameron,,3.79,0.3845,UNDER,4.5,,UNDER,3,1,0.79,0.79,0.147840,0.485320,1,,OVER,1,-0.210,UNDER
2251382,2026-07-18,SD@KC,1920026,K_PROP,away,German Marquez,,1.74,0.1200,UNDER,3.5,,OVER,4,0,-2.26,2.26,0.774400,2.120264,1,,OVER,1,0.440,UNDER
2251385,2026-07-18,MIA@MIL,1920027,K_PROP,home,Robert Gasser,,3.41,0.3047,UNDER,4.5,,OVER,9,0,-5.59,5.59,0.483442,1.188428,1,,OVER,1,3.900,UNDER
2251383,2026-07-18,TB@BOS,1920028,K_PROP,away,Shane McClanahan,,3.37,0.2978,UNDER,4.5,,UNDER,4,1,-0.63,0.63,0.088685,0.353537,1,,UNDER,1,-0.350,UNDER
2251387,2026-07-19,LAD@NYY,1920017,K_PROP,away,Emmet Sheehan,,6.09,0.6367,OVER,5.5,,UNDER,0,0,6.09,6.09,0.405387,1.012526,1,,UNDER,1,-4.440,PASS
2251387,2026-07-19,LAD@NYY,1920018,K_PROP,home,Ryan Weathers,,5.31,0.3467,UNDER,6.5,,UNDER,0,1,5.31,5.31,0.120201,0.425719,1,,UNDER,1,-5.620,UNDER
2251390,2026-07-19,CWS@TOR,1920029,K_PROP,away,Erick Fedde,,2.03,0.1764,UNDER,3.5,,OVER,5,0,-2.97,2.97,0.678317,1.735001,1,,UNDER,1,1.800,UNDER
2251390,2026-07-19,CWS@TOR,1920030,K_PROP,home,Dylan Cease,,9.04,0.7526,OVER,7.5,,OVER,9,1,0.04,0.04,0.061207,0.284221,1,,OVER,0,6.060,PASS
2251393,2026-07-19,TEX@ATL,1920031,K_PROP,home,Bryce Elder,,3.1,0.4261,UNDER,3.5,,UNDER,2,1,1.10,1.10,0.181561,0.555300,1,,UNDER,1,-0.410,UNDER
2251391,2026-07-19,TB@BOS,1920032,K_PROP,home,Payton Tolle,,2.48,0.0536,UNDER,5.5,,UNDER,5,1,-2.52,2.52,0.002873,0.055090,1,,OVER,0,2.100,UNDER
2251392,2026-07-19,NYM@PHI,1920033,K_PROP,away,Freddy Peralta,,4.11,0.2823,UNDER,5.5,,OVER,10,0,-5.89,5.89,0.515093,1.264785,1,,OVER,1,2.840,OVER
2251391,2026-07-19,TB@BOS,1920034,K_PROP,away,Nick Martinez,,2.18,0.2088,UNDER,3.5,,UNDER,3,1,-0.82,0.82,0.043597,0.234204,1,,UNDER,1,-0.150,UNDER
2251393,2026-07-19,TEX@ATL,1920035,K_PROP,away,Jacob deGrom,,5.98,0.4605,UNDER,6.5,,UNDER,2,1,3.98,3.98,0.212060,0.617112,1,,UNDER,0,-3.550,UNDER
2251394,2026-07-19,PIT@CLE,1920036,K_PROP,home,Tanner Bibee,,2.86,0.1974,UNDER,4.5,,OVER,7,0,-4.14,4.14,0.644167,1.622523,1,,OVER,0,2.630,OVER
2251394,2026-07-19,PIT@CLE,1920037,K_PROP,away,Braxton Ashcraft,,4.68,0.2420,UNDER,6.5,,OVER,8,0,-3.32,3.32,0.574564,1.418818,1,,OVER,0,1.600,UNDER
