game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2250682,2026-05-19,HOU@MIN,1,F5,ML,,0.4480,HOME,,,AWAY,0,,,0.304704,0.802962,home_fav,night,1,,
2250683,2026-05-19,MIL@CHC,1,F5,ML,,0.3959,HOME,,,AWAY,0,,,0.364937,0.926594,away_fav,night,1,,
2250684,2026-05-19,PIT@STL,1,F5,ML,,0.4634,HOME,,,AWAY,0,,,0.287940,0.769165,away_fav,night,1,,
2250685,2026-05-19,TEX@COL,1,F5,ML,,0.4630,HOME,,,AWAY,0,,,0.288369,0.770028,away_fav,night,1,,
2250686,2026-05-19,ATH@LAA,1,F5,ML,,0.3646,HOME,,,AWAY,0,,,0.403733,1.008954,home_fav,night,1,,
2250687,2026-05-19,LAD@SD,1,F5,ML,,0.5589,AWAY,,,HOME,0,,,0.312369,0.818484,away_fav,night,1,,
2250688,2026-05-19,CWS@SEA,1,F5,ML,,0.4266,HOME,,,HOME,1,,,0.181988,0.556172,home_fav,night,1,,
2253002,2026-05-19,SF@ARI,1,F5,ML,,0.4335,HOME,,,AWAY,0,,,0.320922,0.835863,home_fav,night,1,,
2250689,2026-05-20,CIN@PHI,1,F5,ML,,0.4479,HOME,,,AWAY,0,,,0.304814,0.803185,home_fav,day,1,,
2250690,2026-05-20,BAL@TB,1,F5,ML,,0.3731,HOME,,,PUSH,,,,,,away_fav,day,1,push(tie),
2250691,2026-05-20,HOU@MIN,1,F5,ML,,0.3658,HOME,,,HOME,1,,,0.133810,0.455391,home_fav,day,1,,
2250692,2026-05-20,TEX@COL,1,F5,ML,,0.4541,HOME,,,HOME,1,,,0.206207,0.605319,away_fav,day,1,,
2250693,2026-05-20,CWS@SEA,1,F5,ML,,0.3749,HOME,,,PUSH,,,,,,home_fav,day,1,push(tie),
2250694,2026-05-20,CLE@DET,1,F5,ML,,0.4092,HOME,,,PUSH,,,,,,away_fav,night,1,push(tie),
2250695,2026-05-20,ATL@MIA,1,F5,ML,,0.4848,HOME,,,AWAY,0,,,0.265431,0.724019,away_fav,night,1,,
2250696,2026-05-20,NYM@WSH,1,F5,ML,,0.4845,HOME,,,HOME,1,,,0.234740,0.662618,away_fav,night,1,,
2250697,2026-05-20,TOR@NYY,1,F5,ML,,0.3445,HOME,,,PUSH,,,,,,home_fav,night,1,push(tie),
2250698,2026-05-20,BOS@KC,1,F5,ML,,0.4006,HOME,,,HOME,1,,,0.160480,0.511826,away_fav,night,1,,
2250699,2026-05-20,MIL@CHC,1,F5,ML,,0.4472,HOME,,,AWAY,0,,,0.305588,0.804749,home_fav,night,1,,
2250700,2026-05-20,PIT@STL,1,F5,ML,,0.3580,HOME,,,AWAY,0,,,0.412164,1.027222,away_fav,night,1,,
2250701,2026-05-20,LAD@SD,1,F5,ML,,0.4731,HOME,,,AWAY,0,,,0.277624,0.748448,away_fav,night,1,,
2250702,2026-05-20,ATH@LAA,1,F5,ML,,0.4494,HOME,,,HOME,1,,,0.201960,0.596747,away_fav,night,1,,
2253008,2026-05-20,SF@ARI,1,F5,ML,,0.4165,HOME,,,HOME,1,,,0.173472,0.538711,away_fav,day,1,,
2250703,2026-05-21,CLE@DET,1,F5,ML,,0.3641,HOME,,,AWAY,0,,,0.404369,1.010327,home_fav,day,1,,
2250704,2026-05-21,PIT@STL,1,F5,ML,,0.4676,HOME,,,AWAY,0,,,0.283450,0.760142,away_fav,day,1,,
2250705,2026-05-21,NYM@WSH,1,F5,ML,,0.3888,HOME,,,AWAY,0,,,0.373565,0.944690,away_fav,day,1,,
2250706,2026-05-21,ATL@MIA,1,F5,ML,,0.4714,HOME,,,AWAY,0,,,0.279418,0.752048,away_fav,night,1,,
2250707,2026-05-21,TOR@NYY,1,F5,ML,,0.3946,HOME,,,AWAY,0,,,0.366509,0.929883,home_fav,night,1,,
2250708,2026-05-21,ATH@LAA,1,F5,ML,,0.4178,HOME,,,HOME,1,,,0.174557,0.540941,home_fav,night,1,,
2253025,2026-05-21,COL@ARI,1,F5,ML,,0.3484,HOME,,,PUSH,,,,,,home_fav,night,1,push(tie),
2250709,2026-05-22,HOU@CHC,1,F5,ML,,0.4197,HOME,+108,,AWAY,0,,,0.336748,0.868215,home_fav,day,1,,
2250709,2026-05-22,HOU@CHC,1,F5,RL,,0.4986,HOME,0.5,,AWAY,0,,,0.251402,0.695951,home_fav,day,1,,
2250709,2026-05-22,HOU@CHC,1,F5,TOTAL,4.00,0.5200,OVER,3.5,,OVER,1,0.00,0.00,0.230400,0.653926,home_fav,day,1,,
2250710,2026-05-22,STL@CIN,1,F5,ML,,0.4715,HOME,-104,,,,,,,,home_fav,night,0,not-completed,
2250710,2026-05-22,STL@CIN,1,F5,RL,,0.5509,AWAY,0.5,,,,,,,,home_fav,night,0,not-completed,
2250710,2026-05-22,STL@CIN,1,F5,TOTAL,5.50,0.4500,UNDER,4.5,,,,,,,,home_fav,night,0,not-completed,
2250711,2026-05-22,CLE@PHI,1,F5,ML,,0.4206,HOME,+156,,PUSH,,,,,,home_fav,night,1,push(tie),
2250711,2026-05-22,CLE@PHI,1,F5,RL,,0.4985,HOME,0.5,,AWAY,0,,,0.251502,0.696152,home_fav,night,1,,
