game_id,date,teams,game_no,market,sub_market,projected_value,projected_probability,pick,line_at_projection,closing_line,closing_novig_p_away,actual_outcome,correct,signed_error,abs_error,brier,logloss,fav,day_night,completed,notes,stored_correct
2251276,2026-07-06,NYM@ATL,1,FG,RL,-0.90,,AWAY,+1.5/-192,1.5/-188,,AWAY,1,-1.90,1.90,,,home_fav,night,1,,
2251276,2026-07-06,NYM@ATL,1,FG,TOTAL,8.58,0.4088,UNDER,9,9,,OVER,0,-4.42,4.42,0.349517,0.894529,home_fav,night,1,,
2251277,2026-07-06,MIL@STL,1,FG,ML,,0.4626,HOME,-119,-122,0.5248,AWAY,0,,,0.288799,0.770893,away_fav,night,1,,
2251277,2026-07-06,MIL@STL,1,FG,RL,-0.08,,HOME,-1.5/+139,-1.5/+139,,HOME,1,-1.08,1.08,,,away_fav,night,1,,
2251277,2026-07-06,MIL@STL,1,FG,TOTAL,8.11,0.4525,UNDER,8,8,,UNDER,1,1.11,1.11,0.204756,0.602393,away_fav,night,1,,
2251278,2026-07-06,TOR@SF,1,FG,ML,,0.4283,HOME,-112,,,HOME,1,,,0.183441,0.559141,away_fav,night,1,,
2251278,2026-07-06,TOR@SF,1,FG,RL,-0.45,,HOME,-1.5/+148,,,HOME,1,8.55,8.55,,,away_fav,night,1,,
2251278,2026-07-06,TOR@SF,1,FG,TOTAL,8.01,0.4444,UNDER,7.5,,,OVER,0,-2.99,2.99,0.308691,0.811030,away_fav,night,1,,
2251279,2026-07-06,COL@LAD,1,FG,ML,,0.3730,HOME,+203,,,HOME,1,,,0.139129,0.466809,home_fav,night,1,,
2251279,2026-07-06,COL@LAD,1,FG,RL,-1.27,,AWAY,+1.5/+105,,,AWAY,1,-0.27,0.27,,,home_fav,night,1,,
2251279,2026-07-06,COL@LAD,1,FG,TOTAL,9.59,0.3785,UNDER,10,,,OVER,0,-5.41,5.41,0.386262,0.971539,home_fav,night,1,,
2253636,2026-07-06,ARI@SD,1,FG,ML,,0.4274,HOME,+108,,,AWAY,0,,,0.327871,0.850035,home_fav,night,1,,
2253636,2026-07-06,ARI@SD,1,FG,RL,-0.44,,AWAY,+1.5/-200,,,AWAY,1,-8.44,8.44,,,home_fav,night,1,,
2253636,2026-07-06,ARI@SD,1,FG,TOTAL,7.62,0.3676,UNDER,8.5,,,UNDER,1,-0.38,0.38,0.135130,0.458233,home_fav,night,1,,
2251280,2026-07-07,CHC@BAL,1,FG,ML,,0.4431,HOME,-114,-114,0.5087,AWAY,0,,,0.310138,0.813960,away_fav,night,1,,
2251280,2026-07-07,CHC@BAL,1,FG,RL,-0.34,,HOME,-1.5/+139,-1.5/+139,,AWAY,0,-3.34,3.34,,,away_fav,night,1,,
2251280,2026-07-07,CHC@BAL,1,FG,TOTAL,9.35,0.4274,UNDER,9.5,9.5,,UNDER,1,2.35,2.35,0.182671,0.557568,away_fav,night,1,,
2251281,2026-07-07,ATH@DET,1,FG,ML,,0.4069,HOME,+183,187,0.3330,HOME,1,,,0.165568,0.522392,home_fav,night,1,,
2251281,2026-07-07,ATH@DET,1,FG,RL,-0.66,,AWAY,+1.5/-115,1.5/-114,,HOME,0,3.34,3.34,,,home_fav,night,1,,
2251281,2026-07-07,ATH@DET,1,FG,TOTAL,7.86,0.4292,UNDER,8.5,8.5,,UNDER,1,-0.14,0.14,0.184213,0.560716,home_fav,night,1,,
2251282,2026-07-07,ATL@PIT,1,FG,ML,,0.4429,HOME,+124,124,0.4273,HOME,1,,,0.196160,0.585011,home_fav,night,1,,
2251282,2026-07-07,ATL@PIT,1,FG,RL,-0.31,,AWAY,+1.5/-167,1.5/-167,,HOME,0,7.69,7.69,,,home_fav,night,1,,
2251282,2026-07-07,ATL@PIT,1,FG,TOTAL,8.74,0.5460,OVER,8.5,8.5,,OVER,1,-7.26,7.26,0.206116,0.605136,home_fav,night,1,,
2251283,2026-07-07,SEA@MIA,1,FG,ML,,0.4231,HOME,+105,102,0.4712,HOME,1,,,0.179014,0.550086,home_fav,night,1,,
2251283,2026-07-07,SEA@MIA,1,FG,RL,-0.50,,AWAY,+1.5/-208,1.5/-207,,AWAY,1,0.50,0.50,,,home_fav,night,1,,
2251283,2026-07-07,SEA@MIA,1,FG,TOTAL,7.64,0.4092,UNDER,8,8,,OVER,0,-3.36,3.36,0.349045,0.893551,home_fav,night,1,,
2251284,2026-07-07,NYY@TB,1,FG,ML,,0.3781,HOME,+113,113,0.4489,HOME,1,,,0.142960,0.474976,home_fav,night,1,,
2251284,2026-07-07,NYY@TB,1,FG,RL,-1.03,,AWAY,+1.5/-194,1.5/-198,,HOME,0,0.97,0.97,,,home_fav,night,1,,
2251284,2026-07-07,NYY@TB,1,FG,TOTAL,8.36,0.5146,OVER,7.5,7.5,,OVER,1,-1.64,1.64,0.235613,0.664365,home_fav,night,1,,
2251285,2026-07-07,HOU@WSH,1,FG,ML,,0.3900,HOME,-105,-105,0.4892,AWAY,0,,,0.372100,0.941609,away_fav,night,1,,
2251285,2026-07-07,HOU@WSH,1,FG,RL,-1.11,,HOME,-1.5/+149,-1.5/+149,,AWAY,0,-4.11,4.11,,,away_fav,night,1,,
2251285,2026-07-07,HOU@WSH,1,FG,TOTAL,10.85,0.5430,OVER,9.5,9.5,,UNDER,0,1.85,1.85,0.294849,0.783072,away_fav,night,1,,
2251286,2026-07-07,KC@NYM,1,FG,ML,,0.5144,AWAY,+119,119,0.4362,AWAY,1,,,0.235807,0.664754,home_fav,night,1,,
2251286,2026-07-07,KC@NYM,1,FG,RL,0.57,,AWAY,+1.5/-171,1.5/-171,,AWAY,1,-3.43,3.43,,,home_fav,night,1,,
2251286,2026-07-07,KC@NYM,1,FG,TOTAL,9.83,0.5950,OVER,8.5,8.5,,OVER,1,-18.17,18.17,0.164025,0.519194,home_fav,night,1,,
2251287,2026-07-07,PHI@CIN,1,FG,ML,,0.5187,AWAY,-168,-168,0.5997,AWAY,1,,,0.231650,0.656430,away_fav,night,1,,
2251287,2026-07-07,PHI@CIN,1,FG,RL,0.52,,HOME,-1.5/-106,-1.5/-103,,AWAY,0,-2.48,2.48,,,away_fav,night,1,,
2251287,2026-07-07,PHI@CIN,1,FG,TOTAL,8.02,0.4048,UNDER,9,9,,UNDER,1,3.02,3.02,0.163863,0.518858,away_fav,night,1,,
