series,dimension,bucket,n,base_rate,mean_p,calib_gap,calib_gap_z,brier,brier_const_slice,brier_skill,logloss,n_picks,hits,hit_rate
live_clean,sp_shrunk_bucket,"Q3[0.595,0.647)",246,0.45935,0.4789,0.01955,0.62,0.253252,0.248348,-0.004905,0.699678,221,102,0.46154
live,sp_shrunk_bucket,"Q4[0.647,0.708)",309,0.53398,0.48883,-0.04515,-1.59,0.248723,0.248845,0.000123,0.690577,279,153,0.54839
p1,sp_shrunk_bucket,"Q4[0.647,0.708)",311,0.53055,0.51839,-0.01215,-0.43,0.244937,0.249067,0.00413,0.68305,310,180,0.58065
p2,sp_shrunk_bucket,"Q4[0.647,0.708)",311,0.53055,0.51839,-0.01215,-0.43,0.244937,0.249067,0.00413,0.68305,310,180,0.58065
live_clean,sp_shrunk_bucket,"Q4[0.647,0.708)",261,0.53257,0.48739,-0.04517,-1.46,0.249647,0.248939,-0.000708,0.692439,235,128,0.54468
live,sp_shrunk_bucket,Q5>=0.708,307,0.51792,0.48625,-0.03166,-1.11,0.255167,0.249679,-0.005488,0.703577,290,138,0.47586
p1,sp_shrunk_bucket,Q5>=0.708,311,0.5209,0.51996,-0.00094,-0.03,0.250823,0.249563,-0.00126,0.694841,311,157,0.50482
p2,sp_shrunk_bucket,Q5>=0.708,311,0.5209,0.51996,-0.00094,-0.03,0.250823,0.249563,-0.00126,0.694841,311,157,0.50482
live_clean,sp_shrunk_bucket,Q5>=0.708,270,0.52963,0.48563,-0.044,-1.45,0.256763,0.249122,-0.007641,0.706802,255,119,0.46667
live,team_i1_bucket,Q1<0.244,304,0.48684,0.47697,-0.00987,-0.34,0.250764,0.249827,-0.000937,0.694569,280,145,0.51786
p1,team_i1_bucket,Q1<0.244,311,0.49196,0.52107,0.02911,1.03,0.251224,0.249935,-0.001289,0.695674,310,168,0.54194
p2,team_i1_bucket,Q1<0.244,311,0.49196,0.52107,0.02911,1.03,0.251224,0.249935,-0.001289,0.695674,310,168,0.54194
live_clean,team_i1_bucket,Q1<0.244,180,0.46111,0.47906,0.01794,0.48,0.253871,0.248488,-0.005383,0.700916,163,77,0.47239
live,team_i1_bucket,"Q2[0.244,0.282)",309,0.52104,0.48282,-0.03822,-1.34,0.255294,0.249558,-0.005737,0.70378,288,132,0.45833
p1,team_i1_bucket,"Q2[0.244,0.282)",311,0.51768,0.51956,0.00188,0.07,0.24696,0.249687,0.002727,0.687071,311,166,0.53376
p2,team_i1_bucket,"Q2[0.244,0.282)",311,0.51768,0.51956,0.00188,0.07,0.24696,0.249687,0.002727,0.687071,311,166,0.53376
live_clean,team_i1_bucket,"Q2[0.244,0.282)",239,0.50209,0.48197,-0.02013,-0.62,0.256599,0.249996,-0.006603,0.706418,221,98,0.44344
live,team_i1_bucket,"Q3[0.282,0.311)",308,0.44805,0.47782,0.02977,1.05,0.247178,0.247301,0.000124,0.687372,279,146,0.5233
p1,team_i1_bucket,"Q3[0.282,0.311)",311,0.44695,0.51202,0.06507,2.31,0.247337,0.247185,-0.000152,0.687577,310,157,0.50645
