comparison,dimension,bucket,n,brier_a,brier_b,delta_a_minus_b,se,z
p1_vs_p2,park,SEA,53,0.259835,0.259835,0.0,0.0,
live_clean_vs_p2,park,SEA,42,0.244005,0.249967,-0.005962,0.017013,-0.35
live_vs_p2,park,SF,47,0.260577,0.243602,0.016974,0.011343,1.5
live_vs_p1,park,SF,47,0.260577,0.243602,0.016974,0.011343,1.5
p1_vs_p2,park,SF,48,0.242464,0.242464,0.0,0.0,
live_clean_vs_p2,park,SF,36,0.260456,0.240916,0.019539,0.013542,1.44
live_vs_p2,park,STL,53,0.249123,0.244848,0.004275,0.01018,0.42
live_vs_p1,park,STL,53,0.249123,0.244848,0.004275,0.01018,0.42
p1_vs_p2,park,STL,54,0.24521,0.24521,0.0,0.0,
live_clean_vs_p2,park,STL,40,0.25373,0.241702,0.012028,0.010224,1.18
live_vs_p2,park,TB,51,0.254963,0.251981,0.002982,0.010844,0.27
live_vs_p1,park,TB,51,0.254963,0.251981,0.002982,0.010844,0.27
p1_vs_p2,park,TB,51,0.251981,0.251981,0.0,0.0,
live_clean_vs_p2,park,TB,40,0.26077,0.252268,0.008502,0.010438,0.81
live_vs_p2,park,TEX,49,0.263857,0.275275,-0.011417,0.011072,-1.03
live_vs_p1,park,TEX,49,0.263857,0.275275,-0.011417,0.011072,-1.03
p1_vs_p2,park,TEX,50,0.275775,0.275775,0.0,0.0,
live_clean_vs_p2,park,TEX,40,0.261923,0.280429,-0.018506,0.011314,-1.64
live_vs_p2,park,TOR,56,0.264716,0.250735,0.013981,0.008958,1.56
live_vs_p1,park,TOR,56,0.264716,0.250735,0.013981,0.008958,1.56
p1_vs_p2,park,TOR,56,0.250735,0.250735,0.0,0.0,
live_clean_vs_p2,park,TOR,41,0.26701,0.247155,0.019855,0.009456,2.1
live_vs_p2,park,WSH,51,0.241618,0.240943,0.000674,0.005946,0.11
live_vs_p1,park,WSH,51,0.241618,0.240943,0.000674,0.005946,0.11
p1_vs_p2,park,WSH,52,0.243031,0.243031,0.0,0.0,
live_clean_vs_p2,park,WSH,40,0.243157,0.242055,0.001102,0.006674,0.17
live_vs_p2,park_factor_bucket,high>=1.005,560,0.24482,0.244575,0.000245,0.002299,0.11
live_vs_p1,park_factor_bucket,high>=1.005,560,0.24482,0.245045,-0.000226,0.002223,-0.1
p1_vs_p2,park_factor_bucket,high>=1.005,570,0.245279,0.244817,0.000462,0.000462,1.0
live_clean_vs_p2,park_factor_bucket,high>=1.005,435,0.245369,0.244075,0.001294,0.002525,0.51
live_vs_p2,park_factor_bucket,low<0.959,509,0.253332,0.250986,0.002347,0.003597,0.65
