"package","version","license","needs_compilation","built_r","install_mtime"
"scales","1.4.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:43 UTC; unix","2026-07-26T21:23:43"
"snakecase","0.11.1","GPL-3","no","R 4.6.1; ; 2026-07-27 04:26:24 UTC; unix","2026-07-26T21:26:24"
"stringi","1.8.7","file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:05 UTC; unix","2026-07-26T21:23:05"
"stringr","1.6.0","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:26:22 UTC; unix","2026-07-26T21:26:22"
"tibble","3.3.1","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:57 UTC; unix","2026-07-26T21:23:57"
"tidyr","1.3.2","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:26:24 UTC; unix","2026-07-26T21:26:24"
"tidyselect","1.2.1","MIT + file LICENSE","yes","R 4.6.1; ; 2026-07-27 04:23:54 UTC; unix","2026-07-26T21:23:54"
"timechange","0.4.0","GPL (>= 3)","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:19 UTC; unix","2026-07-26T21:23:19"
"tinytex","0.60","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:19 UTC; unix","2026-07-26T21:23:19"
"utf8","1.2.6","Apache License (== 2.0) | file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:49 UTC; unix","2026-07-26T21:22:49"
"V8","8.2.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:27 UTC; unix","2026-07-26T21:23:27"
"vctrs","0.7.3","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:39 UTC; unix","2026-07-26T21:23:39"
"viridisLite","0.4.3","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:23:03 UTC; unix","2026-07-26T21:23:03"
"withr","3.0.3","MIT + file LICENSE","no","R 4.6.1; ; 2026-07-27 04:22:54 UTC; unix","2026-07-26T21:22:54"
"xfun","0.60","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:49 UTC; unix","2026-07-26T21:22:49"
"xgboost","3.2.1.1","Apache License (== 2.0) | file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:42 UTC; unix","2026-07-26T21:23:42"
"xml2","1.6.0","MIT + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:23:38 UTC; unix","2026-07-26T21:23:38"
"yaml","2.3.12","BSD_3_clause + file LICENSE","yes","R 4.6.1; aarch64-apple-darwin25.4.0; 2026-07-27 04:22:49 UTC; unix","2026-07-26T21:22:49"
