starterId,pitcherName,nLive,meanLiveErr,ci95LiveErr,nP1,meanP1Err,nP2,meanP2Err,meanActualKs,meanKProj,meanOuts
608566,German Marquez|JP Sears|Michael King,7,-1.0914,0.9049,10,-1.11,10,-1.255,3.3,2.48,13.2
694738,Landen Roupp|Logan Webb|Trevor McDonald|Tyler Mahle,18,-1.0889,0.9812,20,2.216,20,1.411,5.65,4.467,16.5
607200,Erick Fedde|Noah Schultz,9,-1.0844,1.0929,10,-0.524,10,-0.743,3.4,2.36,14.5
681035,Christian Scott|Freddy Peralta|Nolan McLean|Sean Manaea,12,-1.0667,1.465,14,0.063,14,-0.699,5.571,4.989,13.57
700712,Reid Detmers|Walbert Urena,13,-1.0615,0.9827,16,0.216,16,-0.452,5.062,4.169,16.06
650911,Aaron Nola|Andrew Painter|Cristopher Sanchez|Zack Wheeler,19,-1.0505,1.3572,21,3.187,21,2.189,7.19,5.949,18.95
663978,Brady Singer|Chase Petty|Chris Paddack|Janson Junk,6,-1.0367,1.2975,9,0.134,9,-0.106,3.444,2.797,13.67
686218,Blake Snell|Emmet Sheehan|Eric Lauer|Justin Wrobleski,17,-1.0047,1.4826,18,0.374,18,-0.229,5.5,4.584,14.61
700241,Andre Pallante|Dustin May|Michael McGreevy,18,-0.9689,1.0102,20,-0.072,20,-0.432,3.7,2.895,17.15
676664,JP Sears|Walker Buehler,5,-0.968,0.8179,5,-0.683,5,-1.124,4.0,3.032,14.8
608372,Michael Lorenzen|Ryan Feltner|Tomoyuki Sugano,17,-0.9659,0.6404,18,-0.531,18,-0.759,3.111,2.269,16.0
672456,Casey Mize|Framber Valdez|Jack Flaherty|Keider Montero|Troy Melton|Ty Madden,14,-0.96,0.9047,16,0.656,16,0.242,3.875,3.111,17.19
694346,Chris Bassitt|Dean Kremer|Trevor Rogers|Trey Gibson,6,-0.96,3.1634,7,-1.169,7,-1.591,4.0,3.373,13.29
518876,Brandon Pfaadt|Eduardo Rodriguez|Merrill Kelly,17,-0.9512,0.8503,18,-0.599,18,-0.903,3.611,2.578,17.28
676083,Chris Paddack|Janson Junk|Sandy Alcantara,12,-0.9367,0.6888,13,0.426,13,0.103,3.923,2.813,15.92
671096,Andrew Abbott|Brady Singer|Chase Burns|Chris Paddack,18,-0.9356,0.6198,21,-0.753,21,-1.054,4.286,3.62,15.86
607074,Carlos Rodon|Elmer Rodriguez|Gerrit Cole|Ryan Weathers,8,-0.9312,1.4965,9,0.286,9,-0.614,5.778,5.194,15.44
702070,Cole Ragans|Michael Wacha|Noah Cameron|Seth Lugo|Stephen Kolek,17,-0.9276,1.493,19,0.386,19,-0.141,4.842,4.072,15.89
677958,Jack Leiter|Kumar Rocker|MacKenzie Gore,15,-0.916,0.7997,17,-0.163,17,-0.556,4.118,3.284,14.71
666157,Andrew Abbott|Chase Burns|Nick Lodolo|Rhett Lowder,12,-0.9042,1.6018,12,-0.275,12,-0.845,4.167,3.263,15.67
669923,Bryan Woo|Bryce Miller|George Kirby|Luis Castillo,17,-0.8865,1.2195,19,1.055,19,0.444,5.474,4.702,18.32
607625,Bailey Falter|Kris Bubic|Luinder Avila|Michael Wacha|Randy Dobnak|Seth Lugo|Stephen Kolek,19,-0.8663,0.8533,21,1.107,21,0.555,4.476,3.502,16.81
663372,Kyle Freeland|Ryan Feltner|Sean Sullivan|Tanner Gordon,13,-0.8208,1.3856,14,-0.774,14,-1.024,3.571,2.641,14.07
669456,Shane Bieber|Trey Yesavage,6,-0.82,1.1141,6,-0.548,6,-0.962,3.667,2.847,15.33
641927,Bailey Ober|Mick Abel|Simeon Woods Richardson|Taj Bradley|Zebby Matthews,13,-0.8192,1.7033,15,-0.303,15,-0.589,4.0,3.335,16.2
676440,Joey Cantillo|Parker Messick|Tanner Bibee,17,-0.7971,1.0743,21,-0.323,21,-0.717,4.381,3.497,17.0
663554,Casey Mize|Jack Flaherty|Tarik Skubal,14,-0.7936,0.9087,15,1.802,15,1.162,5.467,4.421,16.13
593958,Brandon Pfaadt|Eduardo Rodriguez|Michael Soroka|Mitch Bratt,21,-0.7671,0.6656,21,0.147,21,-0.295,4.095,3.328,17.52
605288,Adrian Houser|Robbie Ray,10,-0.735,0.7508,14,-0.424,14,-0.633,3.429,3.165,14.14
676106,Emerson Hancock|George Kirby|Logan Gilbert|Luis Castillo,18,-0.7339,0.9788,19,1.216,19,0.609,5.105,3.877,16.63
683004,Jack Leiter|Jacob deGrom,15,-0.7153,1.4029,15,0.645,15,0.152,5.533,4.818,16.0
