propId,gameId,gameDate,gamePk,side,pitcher,mlbamId,class,ungraded_reason,kProj,bookLine,pOver,pUnder,actualKs,stored_backtestResult,stored_modelCorrect,stored_modelError,derived_backtestResult,derived_modelCorrect,derived_modelError,grade_status,diff_fields,substrate_status,substrate_starterId,substrate_starterKs
90130,2250077,2026-04-01,824940,home,Chris Sale,519242,final_in_scope,,9.23,7.5,0.7027,0.2973,3,UNDER,0,6.23,UNDER,0,6.23,MATCH,,SIDE_MATCH_KS_EQUAL,519242,3
90129,2250077,2026-04-01,824940,away,Luis Severino,622663,final_in_scope,,2.55,3.5,0.2532,0.7468,7,OVER,0,-4.45,OVER,0,-4.45,MATCH,,SIDE_MATCH_KS_EQUAL,622663,7
90132,2250078,2026-04-01,824860,away,Nathan Eovaldi,543135,final_in_scope,,6.56,5.5,0.6401,0.3599,5,UNDER,0,1.56,UNDER,0,1.56,MATCH,,SIDE_MATCH_KS_EQUAL,543135,5
90131,2250078,2026-04-01,824860,home,Trevor Rogers,669432,final_in_scope,,5.32,5.5,0.4393,0.5607,3,UNDER,1,2.32,UNDER,1,2.32,MATCH,,SIDE_MATCH_KS_EQUAL,669432,3
90134,2250079,2026-04-01,824536,away,Paul Skenes,694973,final_in_scope,,8.73,7.5,0.6429,0.3571,5,UNDER,0,3.73,UNDER,0,3.73,MATCH,,SIDE_MATCH_KS_EQUAL,694973,5
90133,2250079,2026-04-01,824536,home,Andrew Abbott,671096,final_in_scope,,4.97,5.5,0.3783,0.6217,5,UNDER,1,-0.03,UNDER,1,-0.03,MATCH,,SIDE_MATCH_KS_EQUAL,671096,5
90136,2250080,2026-04-01,823483,away,Cade Cavalli,676917,final_in_scope,,3.58,4.5,0.2902,0.7098,3,UNDER,1,0.58,UNDER,1,0.58,MATCH,,SIDE_MATCH_KS_EQUAL,676917,3
90135,2250080,2026-04-01,823483,home,Cristopher Sanchez,650911,final_in_scope,,8.32,6.5,0.7236,0.2764,7,OVER,1,1.32,OVER,1,1.32,MATCH,,SIDE_MATCH_KS_EQUAL,650911,7
90138,2250081,2026-04-01,822835,home,Kevin Gausman,592332,final_in_scope,,7.09,7.5,0.4148,0.5852,10,OVER,0,-2.91,OVER,0,-2.91,MATCH,,SIDE_MATCH_KS_EQUAL,592332,10
90137,2250081,2026-04-01,822835,away,Kyle Freeland,607536,final_in_scope,,2.34,3.5,0.2092,0.7908,6,OVER,0,-3.66,OVER,0,-3.66,MATCH,,SIDE_MATCH_KS_EQUAL,607536,6
90140,2250082,2026-04-01,823889,home,Sandy Alcantara,645261,final_in_scope,,4.5,5.5,0.2977,0.7023,7,OVER,0,-2.5,OVER,0,-2.50,MATCH,,SIDE_MATCH_KS_EQUAL,645261,7
90139,2250082,2026-04-01,823889,away,Shane Smith,681343,final_in_scope,,3.18,4.5,0.2159,0.7841,1,UNDER,1,2.18,UNDER,1,2.18,MATCH,,SIDE_MATCH_KS_EQUAL,681343,1
90142,2250083,2026-04-01,823078,home,Matthew Liberatore,669461,final_in_scope,,2.79,3.5,0.3056,0.6944,2,UNDER,1,0.79,UNDER,1,0.79,MATCH,,SIDE_MATCH_KS_EQUAL,669461,2
90141,2250083,2026-04-01,823078,away,Freddy Peralta,642547,final_in_scope,,4.63,5.5,0.3201,0.6799,7,OVER,0,-2.37,OVER,0,-2.37,MATCH,,SIDE_MATCH_KS_EQUAL,642547,7
90144,2250084,2026-04-01,823806,away,Drew Rasmussen,656876,final_in_scope,,3.83,4.5,0.3378,0.6622,8,OVER,0,-4.17,OVER,0,-4.17,MATCH,,SIDE_MATCH_KS_EQUAL,656876,8
90143,2250084,2026-04-01,823806,home,Jacob Misiorowski,694819,final_in_scope,,5.98,6.5,0.3904,0.6096,7,OVER,0,-1.02,OVER,0,-1.02,MATCH,,SIDE_MATCH_KS_EQUAL,694819,7
