ledgerId,refId,modelVersion,gameId,gameDate,issues
38864,29709,wf-19288f01-p1,2250382,2026-04-25,null_core_field
38883,29848,wf-19288f01-p1,2250383,2026-04-25,null_core_field
38884,29849,wf-19288f01-p1,2250383,2026-04-25,null_core_field
38903,29988,wf-19288f01-p1,2250384,2026-04-25,null_core_field
38904,29989,wf-19288f01-p1,2250384,2026-04-25,null_core_field
38923,30128,wf-19288f01-p1,2250385,2026-04-25,null_core_field
38924,30129,wf-19288f01-p1,2250385,2026-04-25,null_core_field
39064,30969,wf-19288f01-p1,2250391,2026-04-26,null_core_field
39564,6529,wf-19288f01-p1,2250415,2026-04-28,signedError -2.240 != projValue-actual -2.240
39864,8809,wf-19288f01-p1,2250430,2026-04-29,null_core_field
39924,9289,wf-19288f01-p1,2250434,2026-04-29,null_core_field
40003,9768,wf-19288f01-p1,2250437,2026-04-30,null_core_field
40163,34468,wf-19288f01-p1,3270003,2026-04-30,null_core_field
40164,34469,wf-19288f01-p1,3270003,2026-04-30,null_core_field
40183,34488,wf-19288f01-p1,3270004,2026-04-30,null_core_field
40184,34489,wf-19288f01-p1,3270004,2026-04-30,null_core_field
40704,14329,wf-19288f01-p1,2250468,2026-05-02,null_core_field
40823,15028,wf-19288f01-p1,2250473,2026-05-03,null_core_field
40863,15308,wf-19288f01-p1,2250475,2026-05-03,null_core_field
40883,15448,wf-19288f01-p1,2250476,2026-05-03,null_core_field
40884,15449,wf-19288f01-p1,2250476,2026-05-03,null_core_field
41043,16564,wf-19288f01-p1,2250484,2026-05-03,null_core_field
41064,16709,wf-19288f01-p1,2250485,2026-05-03,null_core_field
41103,16848,wf-19288f01-p1,2250486,2026-05-04,null_core_field
41104,16849,wf-19288f01-p1,2250486,2026-05-04,null_core_field
41123,16988,wf-19288f01-p1,2250487,2026-05-04,null_core_field
41124,16989,wf-19288f01-p1,2250487,2026-05-04,null_core_field
41143,17128,wf-19288f01-p1,2250488,2026-05-04,null_core_field
41144,17129,wf-19288f01-p1,2250488,2026-05-04,null_core_field
41163,17268,wf-19288f01-p1,2250489,2026-05-04,null_core_field
41164,17269,wf-19288f01-p1,2250489,2026-05-04,null_core_field
41183,17408,wf-19288f01-p1,2250490,2026-05-04,null_core_field
41184,17409,wf-19288f01-p1,2250490,2026-05-04,null_core_field
41203,17548,wf-19288f01-p1,2250491,2026-05-04,null_core_field
41204,17549,wf-19288f01-p1,2250491,2026-05-04,null_core_field
41223,17688,wf-19288f01-p1,2250492,2026-05-04,null_core_field
41224,17689,wf-19288f01-p1,2250492,2026-05-04,null_core_field
41243,17828,wf-19288f01-p1,2250493,2026-05-04,null_core_field
41244,17830,wf-19288f01-p1,2250493,2026-05-04,null_core_field
41263,17969,wf-19288f01-p1,2250494,2026-05-04,null_core_field
41264,17971,wf-19288f01-p1,2250494,2026-05-04,null_core_field
41283,18113,wf-19288f01-p1,2250495,2026-05-04,null_core_field
41284,18115,wf-19288f01-p1,2250495,2026-05-04,null_core_field
41303,18254,wf-19288f01-p1,2250496,2026-05-04,null_core_field
41304,18256,wf-19288f01-p1,2250496,2026-05-04,null_core_field
41323,18402,wf-19288f01-p1,2250497,2026-05-04,null_core_field
41324,18404,wf-19288f01-p1,2250497,2026-05-04,null_core_field
41343,18548,wf-19288f01-p1,2250498,2026-05-05,null_core_field
41484,19549,wf-19288f01-p1,2250505,2026-05-05,null_core_field
41603,20528,wf-19288f01-p1,2250512,2026-05-06,null_core_field
41604,20529,wf-19288f01-p1,2250512,2026-05-06,null_core_field
41623,20668,wf-19288f01-p1,2250513,2026-05-06,null_core_field
41624,20669,wf-19288f01-p1,2250513,2026-05-06,null_core_field
41643,20808,wf-19288f01-p1,2250514,2026-05-06,null_core_field
41644,20809,wf-19288f01-p1,2250514,2026-05-06,null_core_field
41663,20948,wf-19288f01-p1,2250515,2026-05-06,null_core_field
41664,20949,wf-19288f01-p1,2250515,2026-05-06,null_core_field
41683,21088,wf-19288f01-p1,2250516,2026-05-06,null_core_field
41684,21089,wf-19288f01-p1,2250516,2026-05-06,null_core_field
41703,21227,wf-19288f01-p1,2250517,2026-05-06,null_core_field
41704,21229,wf-19288f01-p1,2250517,2026-05-06,null_core_field
41723,21368,wf-19288f01-p1,2250518,2026-05-06,null_core_field
41724,21369,wf-19288f01-p1,2250518,2026-05-06,null_core_field
41743,21504,wf-19288f01-p1,2250519,2026-05-06,null_core_field
41744,21507,wf-19288f01-p1,2250519,2026-05-06,null_core_field
41763,21647,wf-19288f01-p1,2250520,2026-05-06,null_core_field
41764,21649,wf-19288f01-p1,2250520,2026-05-06,null_core_field
41783,21788,wf-19288f01-p1,2250521,2026-05-06,null_core_field
41784,21789,wf-19288f01-p1,2250521,2026-05-06,null_core_field
41803,21928,wf-19288f01-p1,2250522,2026-05-06,null_core_field
41804,21929,wf-19288f01-p1,2250522,2026-05-06,null_core_field
41823,22069,wf-19288f01-p1,2250523,2026-05-06,null_core_field
41824,22071,wf-19288f01-p1,2250523,2026-05-06,null_core_field
41843,22193,wf-19288f01-p1,2250524,2026-05-06,null_core_field
41844,22195,wf-19288f01-p1,2250524,2026-05-06,null_core_field
41863,22335,wf-19288f01-p1,2250525,2026-05-06,null_core_field
