dimension,tier,series,n,meanErr,ci95,tstat,sd,mae,medianErr,pctUnderProj,meanActualKs,meanProj
verdict_live,EDGE UNDER,p2,2,-2.2313,3.0452,-1.44,2.1972,2.2313,-2.2313,1.0,9.0,6.769
verdict_live,FADE,live,1,-2.69,,,0.0,2.69,-2.69,1.0,7.0,4.31
verdict_live,FADE,p1,1,-3.3987,,,0.0,3.3987,-3.3987,1.0,7.0,3.601
verdict_live,FADE,p2,1,-3.3987,,,0.0,3.3987,-3.3987,1.0,7.0,3.601
verdict_live,NEUTRAL,live,5,0.614,2.8197,0.43,3.2169,2.338,0.65,0.4,5.0,5.614
verdict_live,NEUTRAL,p1,5,1.0515,4.0813,0.5,4.6562,2.8372,0.1823,0.2,5.0,6.051
verdict_live,NEUTRAL,p2,5,1.0515,4.0813,0.5,4.6562,2.8372,0.1823,0.2,5.0,6.051
verdict_live,OVER,live,220,0.2487,0.3705,1.32,2.8037,2.2686,0.52,0.4409,5.127,5.376
verdict_live,OVER,p1,223,1.0689,0.3959,5.29,3.0165,2.5222,0.8322,0.3901,5.085,6.154
verdict_live,OVER,p2,223,0.6354,0.3955,3.15,3.0134,2.4067,0.3411,0.4395,5.085,5.721
verdict_live,PASS,live,281,0.1111,0.3186,0.68,2.7249,2.1146,0.05,0.4875,5.021,5.132
verdict_live,PASS,p1,287,0.7559,0.3232,4.58,2.7939,2.2867,0.8612,0.3798,5.014,5.77
verdict_live,PASS,p2,287,0.1825,0.3148,1.14,2.7205,2.124,0.1884,0.4739,5.014,5.196
verdict_live,UNDER,live,2157,-1.33,0.1044,-24.97,2.4735,2.1995,-1.19,0.6912,4.771,3.441
verdict_live,UNDER,p1,2192,0.5082,0.1138,8.75,2.7195,2.1524,0.431,0.4288,4.749,5.257
verdict_live,UNDER,p2,2192,-0.0649,0.1109,-1.15,2.6484,2.0592,-0.1158,0.5251,4.749,4.684
verdict_live,none,live,0,,,,,,,,,
verdict_live,none,p1,372,1.1303,0.3135,7.07,3.0853,2.589,1.2128,0.3226,4.392,5.523
verdict_live,none,p2,372,0.7504,0.3082,4.77,3.0327,2.4307,0.8506,0.3763,4.392,5.143
side,away,live,1338,-0.8652,0.1418,-11.96,2.6456,2.1895,-0.745,0.6256,4.646,3.781
side,away,p1,1555,0.8223,0.1408,11.45,2.8325,2.2996,0.6462,0.3923,4.568,5.39
side,away,p2,1555,0.2876,0.1382,4.08,2.7798,2.1835,0.1474,0.4746,4.568,4.855
side,home,live,1356,-1.1652,0.1367,-16.71,2.5684,2.2093,-1.09,0.6615,5.005,3.84
side,home,p1,1555,0.4813,0.1377,6.85,2.771,2.1972,0.4783,0.4251,4.945,5.426
side,home,p2,1555,-0.0508,0.1349,-0.74,2.7148,2.0975,-0.0737,0.5158,4.945,4.894
halves,H1: Mar-May,live,1405,-0.8146,0.1335,-11.96,2.5523,2.1025,-0.66,0.6185,4.845,4.03
halves,H1: Mar-May,p1,1774,0.7806,0.135,11.34,2.9003,2.3367,0.6709,0.3974,4.736,5.516
halves,H1: Mar-May,p2,1774,0.3816,0.1339,5.59,2.8766,2.2437,0.2583,0.4622,4.736,5.117
halves,H2: Jun-Jul,live,1289,-1.2359,0.145,-16.7,2.6568,2.305,-1.15,0.6711,4.808,3.572
halves,H2: Jun-Jul,p1,1336,0.4808,0.1431,6.59,2.6686,2.1312,0.4739,0.4237,4.784,5.264
halves,H2: Jun-Jul,p2,1336,-0.231,0.1361,-3.33,2.5372,2.0034,-0.1944,0.5389,4.784,4.553
