gameId,gameDate,mlbGamePk,awayTeam,homeTeam,gameStatus
2250530,2026-05-07,823467,ATH,PHI,final
2250531,2026-05-07,823870,BAL,MIA,final
2250532,2026-05-07,824767,TB,BOS,final
2250533,2026-05-07,823306,STL,SD,final
2252833,2026-05-07,825090,PIT,ARI,final
2250534,2026-05-08,824522,HOU,CIN,final
2250535,2026-05-08,823466,COL,PHI,final
2250536,2026-05-08,824846,ATH,BAL,final
2250537,2026-05-08,822822,LAA,TOR,final
2250538,2026-05-08,824768,TB,BOS,final
2250539,2026-05-08,823871,WSH,MIA,final
2250540,2026-05-08,824443,MIN,CLE,final
2250541,2026-05-08,824116,DET,KC,final
2250542,2026-05-08,824607,SEA,CWS,final
2250543,2026-05-08,823794,NYY,MIL,final
2250544,2026-05-08,822904,CHC,TEX,final
2250545,2026-05-08,823303,STL,SD,final
2250546,2026-05-08,823957,ATL,LAD,final
2250547,2026-05-08,823225,PIT,SF,final
2252849,2026-05-08,825088,NYM,ARI,final
2250548,2026-05-09,822820,LAA,TOR,final
2250549,2026-05-09,824847,ATH,BAL,final
2250550,2026-05-09,824523,HOU,CIN,final
2250552,2026-05-09,823869,WSH,MIA,final
2250553,2026-05-09,823468,COL,PHI,final
2250554,2026-05-09,824444,MIN,CLE,final
2250555,2026-05-09,822905,CHC,TEX,final
2250556,2026-05-09,824115,DET,KC,final
2250557,2026-05-09,824606,SEA,CWS,final
