modelVersion,gameId,gameDate,side,mlbamId,playerName,projValue,line,pOver,mu_used,k_factor,expected_projValue,projValue_abs_diff,expected_pOver,abs_diff,check
wf-19288f01-p1,2252334,2026-03-30,home,647336,Michael Soroka,6.2131,4.5,0.74246,6.2131,,,,0.742456,4.35e-06,PASS
wf-19288f01-p1,2250064,2026-03-31,away,594798,Jacob deGrom,7.0889,5.5,0.71050,7.0889,,,,0.710501,1.27e-06,PASS
wf-19288f01-p1,2250064,2026-03-31,home,621107,Zach Eflin,2.6042,3.5,0.26491,2.6042,,,,0.264912,2.45e-06,PASS
wf-19288f01-p1,2250065,2026-03-31,away,696149,Bubba Chandler,9.7284,5.5,0.85000,9.7284,,,,0.85,0.0,PASS
wf-19288f01-p1,2250065,2026-03-31,home,682227,Brandon Williamson,5.1174,4.5,0.57986,5.1174,,,,0.579859,7.3e-07,PASS
wf-19288f01-p1,2250066,2026-03-31,away,676571,PJ Poulin,6.6336,,,,,,,,,
wf-19288f01-p1,2250066,2026-03-31,home,691725,Andrew Painter,4.7026,4.5,0.50588,4.7026,,,,0.505872,8.07e-06,PASS
wf-19288f01-p1,2250067,2026-03-31,away,607200,Erick Fedde,2.6096,3.5,0.26608,2.6096,,,,0.266089,8.58e-06,PASS
wf-19288f01-p1,2250067,2026-03-31,home,676083,Janson Junk,6.6319,3.5,0.85000,6.6319,,,,0.85,0.0,PASS
wf-19288f01-p1,2250068,2026-03-31,away,663372,Ryan Feltner,3.6643,3.5,0.49837,3.6643,,,,0.498371,5.8e-07,PASS
wf-19288f01-p1,2250068,2026-03-31,home,453286,Max Scherzer,3.8098,5.5,0.18590,3.8098,,,,0.185894,6.44e-06,PASS
wf-19288f01-p1,2250069,2026-03-31,away,650644,Aaron Civale,4.4376,3.5,0.64707,4.4376,,,,0.647067,3.17e-06,PASS
wf-19288f01-p1,2250069,2026-03-31,home,660761,José Suarez,6.9675,,,,,,,,,
wf-19288f01-p1,2250070,2026-03-31,away,667755,José Soriano,6.1371,,,,,,,,,
wf-19288f01-p1,2250070,2026-03-31,home,592791,Jameson Taillon,3.7160,,,,,,,,,
wf-19288f01-p1,2250071,2026-03-31,away,663556,Shane McClanahan,4.6526,,,,,,,,,
wf-19288f01-p1,2250071,2026-03-31,home,605540,Brandon Woodruff,9.4430,,,,,,,,,
wf-19288f01-p1,2250072,2026-03-31,away,673540,Kodai Senga,5.0623,,,,,,,,,
wf-19288f01-p1,2250072,2026-03-31,home,669467,Andre Pallante,3.1302,,,,,,,,,
wf-19288f01-p1,2250073,2026-03-31,away,678394,Brayan Bello,4.6877,,,,,,,,,
wf-19288f01-p1,2250073,2026-03-31,home,686613,Hunter Brown,7.1761,,,,,,,,,
wf-19288f01-p1,2250074,2026-03-31,away,657277,Logan Webb,7.5886,,,,,,,,,
wf-19288f01-p1,2250074,2026-03-31,home,608566,Germán Márquez,2.3734,,,,,,,,,
wf-19288f01-p1,2250075,2026-03-31,away,608331,Max Fried,9.1310,,,,,,,,,
wf-19288f01-p1,2250075,2026-03-31,home,669302,Logan Gilbert,9.0414,,,,,,,,,
wf-19288f01-p1,2250076,2026-03-31,away,676440,Tanner Bibee,4.3387,,,,,,,,,
wf-19288f01-p1,2250076,2026-03-31,home,660271,Shohei Ohtani,6.2840,,,,,,,,,
wf-19288f01-p1,2252346,2026-03-31,away,663554,Casey Mize,5.5941,,,,,,,,,
wf-19288f01-p1,2252346,2026-03-31,home,694297,Brandon Pfaadt,4.7182,,,,,,,,,
wf-19288f01-p1,2250077,2026-04-01,away,622663,Luis Severino,3.9720,3.5,0.56103,3.972,,,,0.561041,1.055e-05,PASS
wf-19288f01-p1,2250077,2026-04-01,home,519242,Chris Sale,12.1492,7.5,0.85000,12.1492,,,,0.85,0.0,PASS
wf-19288f01-p1,2250078,2026-04-01,away,543135,Nathan Eovaldi,6.6247,5.5,0.64883,6.6247,,,,0.648823,6.92e-06,PASS
wf-19288f01-p1,2250078,2026-04-01,home,669432,Trevor Rogers,10.4314,5.5,0.85000,10.4314,,,,0.85,0.0,PASS
wf-19288f01-p1,2250079,2026-04-01,away,694973,Paul Skenes,4.8881,7.5,0.12195,4.8881,,,,0.121949,1.33e-06,PASS
wf-19288f01-p1,2250079,2026-04-01,home,671096,Andrew Abbott,6.3015,5.5,0.60146,6.3015,,,,0.601456,3.96e-06,PASS
wf-19288f01-p1,2250080,2026-04-01,away,676917,Cade Cavalli,2.8878,4.5,0.16625,2.8878,,,,0.166249,7.6e-07,PASS
wf-19288f01-p1,2250080,2026-04-01,home,650911,Cristopher Sánchez,9.7061,6.5,0.85000,9.7061,,,,0.85,0.0,PASS
wf-19288f01-p1,2250081,2026-04-01,away,607536,Kyle Freeland,3.4808,3.5,0.45921,3.4808,,,,0.459219,8.63e-06,PASS
wf-19288f01-p1,2250081,2026-04-01,home,592332,Kevin Gausman,6.7090,7.5,0.35802,6.709,,,,0.358015,4.52e-06,PASS
wf-19288f01-p1,2250082,2026-04-01,away,681343,Shane Smith,2.9728,4.5,0.18019,2.9728,,,,0.180187,2.79e-06,PASS
wf-19288f01-p1,2250082,2026-04-01,home,645261,Sandy Alcantara,5.7905,5.5,0.52011,5.7905,,,,0.520111,1.12e-06,PASS
wf-19288f01-p1,2250083,2026-04-01,away,642547,Freddy Peralta,6.9336,5.5,0.69073,6.9336,,,,0.690731,1.03e-06,PASS
wf-19288f01-p1,2250083,2026-04-01,home,669461,Matthew Liberatore,4.0563,3.5,0.57744,4.0563,,,,0.577451,1.092e-05,PASS
wf-19288f01-p1,2250084,2026-04-01,away,656876,Drew Rasmussen,4.6417,4.5,0.49457,4.6417,,,,0.494564,5.75e-06,PASS
wf-19288f01-p1,2250084,2026-04-01,home,694819,Jacob Misiorowski,7.8612,6.5,0.66939,7.8612,,,,0.669381,9.34e-06,PASS
wf-19288f01-p1,2250085,2026-04-01,away,676979,Garrett Crochet,9.7203,7.5,0.75352,9.7203,,,,0.753522,1.76e-06,PASS
wf-19288f01-p1,2250085,2026-04-01,home,681347,Mike Burrows,6.3016,5.5,0.60146,6.3016,,,,0.601471,1.122e-05,PASS
wf-19288f01-p1,2250086,2026-04-01,away,579328,Yusei Kikuchi,3.9668,4.5,0.36468,3.9668,,,,0.364677,2.81e-06,PASS
wf-19288f01-p1,2250086,2026-04-01,home,571510,Matthew Boyd,3.7487,5.5,0.17693,3.7487,,,,0.176928,1.72e-06,PASS
wf-19288f01-p1,2250087,2026-04-01,away,605288,Adrian Houser,4.9340,3.5,0.72559,4.934,,,,0.725587,3.14e-06,PASS
wf-19288f01-p1,2250087,2026-04-01,home,601713,Nick Pivetta,3.5698,5.5,0.15175,3.5698,,,,0.151748,1.91e-06,PASS
wf-19288f01-p1,2250088,2026-04-01,away,693645,Cam Schlittler,7.2361,5.5,0.72843,7.2361,,,,0.728424,5.64e-06,PASS
wf-19288f01-p1,2250088,2026-04-01,home,669923,George Kirby,8.3706,6.5,0.72977,8.3706,,,,0.729768,1.88e-06,PASS
wf-19288f01-p1,2250089,2026-04-01,away,657746,Joe Ryan,6.8681,5.5,0.68213,6.8681,,,,0.68213,3.8e-07,PASS
wf-19288f01-p1,2250089,2026-04-01,home,702070,Noah Cameron,4.6431,4.5,0.49482,4.6431,,,,0.494825,5.3e-06,PASS
wf-19288f01-p1,2250090,2026-04-01,away,668909,Gavin Williams,4.8451,5.5,0.35688,4.8451,,,,0.356882,1.52e-06,PASS
wf-19288f01-p1,2250090,2026-04-01,home,808967,Yoshinobu Yamamoto,9.8455,6.5,0.85000,9.8455,,,,0.85,0.0,PASS
wf-19288f01-p1,2252360,2026-04-01,away,669373,Tarik Skubal,8.8003,6.5,0.77442,8.8003,,,,0.774419,1.17e-06,PASS
wf-19288f01-p1,2252360,2026-04-01,home,668678,Zac Gallen,3.4371,5.5,0.13418,3.4371,,,,0.134186,6.31e-06,PASS
wf-19288f01-p1,2250091,2026-04-02,away,671737,Taj Bradley,3.6099,4.5,0.29545,3.6099,,,,0.295456,5.68e-06,PASS
wf-19288f01-p1,2250091,2026-04-02,home,666142,Cole Ragans,8.7614,7.5,0.64742,8.7614,,,,0.647429,9.18e-06,PASS
wf-19288f01-p1,2250093,2026-04-02,away,656849,David Peterson,6.0054,4.5,0.71567,6.0054,,,,0.715666,4.35e-06,PASS
wf-19288f01-p1,2250093,2026-04-02,home,592662,Robbie Ray,5.4976,5.5,0.47067,5.4976,,,,0.47067,9e-08,PASS
wf-19288f01-p1,2252367,2026-04-02,away,625643,Reynaldo López,0.8826,4.5,0.03000,0.8826,,,,0.03,0.0,PASS
wf-19288f01-p1,2252367,2026-04-02,home,669194,Ryne Nelson,4.4279,4.5,0.45416,4.4279,,,,0.454159,1.29e-06,PASS
wf-19288f01-p1,2250092,2026-04-03,away,656302,Dylan Cease,8.1681,,,,,,,,,
wf-19288f01-p1,2250092,2026-04-03,home,691799,Grant Taylor,13.7771,,,,,,,,,
wf-19288f01-p1,2250094,2026-04-03,away,686218,Emmet Sheehan,5.5421,5.5,0.47828,5.5421,,,,0.478283,3.14e-06,PASS
wf-19288f01-p1,2250094,2026-04-03,home,571945,Miles Mikolas,2.6598,3.5,0.27707,2.6598,,,,0.277066,4.23e-06,PASS
wf-19288f01-p1,2250095,2026-04-03,away,700241,Michael McGreevy,3.5780,3.5,0.48010,3.578,,,,0.480101,1.07e-06,PASS
wf-19288f01-p1,2250095,2026-04-03,home,664285,Framber Valdez,6.1657,5.5,0.58055,6.1657,,,,0.580555,5.13e-06,PASS
wf-19288f01-p1,2250096,2026-04-03,away,691587,Eury Pérez,8.8570,,,,,,,,,
wf-19288f01-p1,2250096,2026-04-03,home,701542,Will Warren,4.3680,4.5,0.44267,4.368,,,,0.442672,1.92e-06,PASS
wf-19288f01-p1,2250097,2026-04-03,away,650633,Michael King,5.1823,5.5,0.41600,5.1823,,,,0.415992,7.72e-06,PASS
wf-19288f01-p1,2250097,2026-04-03,home,543243,Sonny Gray,5.3954,5.5,0.45307,5.3954,,,,0.453073,2.78e-06,PASS
wf-19288f01-p1,2250098,2026-04-03,away,663903,Brady Singer,4.1771,5.5,0.24312,4.1771,,,,0.243125,5.42e-06,PASS
wf-19288f01-p1,2250098,2026-04-03,home,669022,MacKenzie Gore,6.9197,6.5,0.53825,6.9197,,,,0.538257,6.73e-06,PASS
wf-19288f01-p1,2250099,2026-04-03,away,690990,Cade Horton,6.1658,3.5,0.85000,6.1658,,,,0.85,0.0,PASS
wf-19288f01-p1,2250099,2026-04-03,home,676282,Joey Cantillo,4.5732,4.5,0.48174,4.5732,,,,0.481732,8.42e-06,PASS
