gameId,gameDate,calib_month,T_f5,league_env_mult,f5_total_sd,stored_pF5AwayMl,recomputed_pF5AwayMl,absdiff_pF5AwayMl,MISMATCH_pF5AwayMl,stored_projF5Total,recomputed_projF5Total,absdiff_projF5Total,MISMATCH_projF5Total,stored_pF5Over,recomputed_pF5Over,absdiff_pF5Over,MISMATCH_pF5Over,stored_pF5AwayRl,recomputed_pF5AwayRl,absdiff_pF5AwayRl,MISMATCH_pF5AwayRl
2250121,2026-04-05,2026-04,1.0,1.0,2.9,0.4327,0.4327,0.0,0,5.598,5.598,0.0,0,0.5074,0.5074,0.0,0,0.5756,0.5756,0.0,0
2250122,2026-04-05,2026-04,1.0,1.0,2.9,0.4051,0.4051,0.0,0,4.767,4.767,0.0,0,0.4678,0.4678,0.0,0,0.5637,0.5637,0.0,0
2250123,2026-04-05,2026-04,1.0,1.0,2.9,0.3695,0.3695,0.0,0,4.466,4.466,0.0,0,0.3711,0.3711,0.0,0,0.5337,0.5337,0.0,0
2250124,2026-04-05,2026-04,1.0,1.0,2.9,0.3121,0.3121,0.0,0,3.758,3.758,0.0,0,0.3326,0.3326,0.0,0,0.497,0.497,0.0,0
2250125,2026-04-05,2026-04,1.0,1.0,2.9,0.425,0.425,0.0,0,4.137,4.137,0.0,0,0.4532,0.4532,0.0,0,0.5977,0.5977,0.0,0
2250126,2026-04-05,2026-04,1.0,1.0,2.9,0.4203,0.4203,0.0,0,4.809,4.809,0.0,0,0.4748,0.4748,0.0,0,0.5782,0.5782,0.0,0
2250127,2026-04-05,2026-04,1.0,1.0,2.9,0.4645,0.4645,0.0,0,4.195,4.195,0.0,0,0.3926,0.3926,0.0,0,0.6356,0.6356,0.0,0
2250128,2026-04-05,2026-04,1.0,1.0,2.9,0.3897,0.3897,0.0,0,4.453,4.453,0.0,0,0.4965,0.4965,0.0,0,0.5547,0.5547,0.0,0
2250129,2026-04-05,2026-04,1.0,1.0,2.9,0.4079,0.4079,0.0,0,4.079,4.079,0.0,0,0.4451,0.4451,0.0,0,0.5824,0.5824,0.0,0
2250130,2026-04-05,2026-04,1.0,1.0,2.9,0.4264,0.4264,0.0,0,6.67,6.67,0.0,0,0.5107,0.5107,0.0,0,0.554,0.554,0.0,0
2250131,2026-04-05,2026-04,1.0,1.0,2.9,0.3701,0.3701,0.0,0,6.578,6.578,0.0,0,0.5531,0.5531,0.0,0,0.4969,0.4969,0.0,0
