rgId,gameId,gameDate,market,source,modelVersion,pick,prob,projValue,line,actual,stored_result,stored_correct,stored_brier,stored_signedError,f5_actual,issues,status
1387,2250195,2026-04-11,f5_ml,live_pregame,live,HOME,0.437,,+106,HOME,WIN,1,0.190969,,1-5,,ok
1394,2250196,2026-04-11,f5_ml,live_pregame,live,HOME,0.4109,,+114,AWAY,LOSS,0,0.347039,,3-1,,ok
1401,2250197,2026-04-11,f5_ml,live_pregame,live,HOME,0.4204,,-122,AWAY,LOSS,0,0.335936,,7-2,,ok
1408,2250198,2026-04-11,f5_ml,live_pregame,live,HOME,0.392,,+1400,HOME,WIN,1,0.153664,,3-5,,ok
1415,2250199,2026-04-11,f5_ml,live_pregame,live,HOME,0.4354,,+142,AWAY,LOSS,0,0.318773,,7-3,,ok
1422,2250200,2026-04-11,f5_ml,live_pregame,live,HOME,0.3793,,+360,HOME,WIN,1,0.143868,,0-1,,ok
1429,2250201,2026-04-11,f5_ml,live_pregame,live,AWAY,0.5014,,-184,TIE,PUSH,,,,1-1,,ok
1436,2250202,2026-04-11,f5_ml,live_pregame,live,HOME,0.3811,,+126,AWAY,LOSS,0,0.383037,,2-0,,ok
1443,2250203,2026-04-11,f5_ml,live_pregame,live,HOME,0.4233,,-140,HOME,WIN,1,0.179183,,2-4,,ok
1450,2250204,2026-04-11,f5_ml,live_pregame,live,HOME,0.4059,,-130,AWAY,LOSS,0,0.352955,,2-0,,ok
1457,2250205,2026-04-11,f5_ml,live_pregame,live,HOME,0.3532,,-112,AWAY,LOSS,0,0.41835,,1-0,,ok
1464,2250206,2026-04-11,f5_ml,live_pregame,live,HOME,0.422,,+112,HOME,WIN,1,0.178084,,4-6,,ok
1471,2250207,2026-04-11,f5_ml,live_pregame,live,HOME,0.3379,,+140,HOME,WIN,1,0.114176,,1-5,,ok
1478,2250208,2026-04-11,f5_ml,live_pregame,live,HOME,0.3053,,+108,TIE,PUSH,,,,7-7,,ok
1492,2250209,2026-04-12,f5_ml,live_pregame,live,HOME,0.4295,,+106,HOME,WIN,1,0.18447,,1-4,,ok
1499,2250210,2026-04-12,f5_ml,live_pregame,live,HOME,0.4523,,-112,AWAY,LOSS,0,0.299975,,8-1,,ok
1506,2250211,2026-04-12,f5_ml,live_pregame,live,HOME,0.3947,,-128,AWAY,LOSS,0,0.366388,,7-0,,ok
1513,2250212,2026-04-12,f5_ml,live_pregame,live,HOME,0.3655,,+150,AWAY,LOSS,0,0.40259,,1-0,,ok
1520,2250213,2026-04-12,f5_ml,live_pregame,live,HOME,0.3729,,+154,HOME,WIN,1,0.139054,,0-4,,ok
1527,2250214,2026-04-12,f5_ml,live_pregame,live,HOME,0.4562,,-122,HOME,WIN,1,0.208118,,0-3,,ok
1534,2250215,2026-04-12,f5_ml,live_pregame,live,HOME,0.3848,,+138,HOME,WIN,1,0.148071,,4-5,,ok
1541,2250216,2026-04-12,f5_ml,live_pregame,live,HOME,0.3708,,+152,HOME,WIN,1,0.137493,,2-3,,ok
1548,2250217,2026-04-12,f5_ml,live_pregame,live,HOME,0.4576,,-114,AWAY,LOSS,0,0.294198,,7-1,,ok
1555,2250218,2026-04-12,f5_ml,live_pregame,live,HOME,0.3991,,-100,AWAY,LOSS,0,0.361081,,6-3,,ok
1562,2250219,2026-04-12,f5_ml,live_pregame,live,HOME,0.3601,,+172,HOME,WIN,1,0.129672,,2-4,,ok
1569,2250220,2026-04-12,f5_ml,live_pregame,live,HOME,0.3727,,+156,HOME,WIN,1,0.138905,,1-4,,ok
