gameId,gameDate,matchup,mlbGamePk,actualF5Away,actualF5Home,actualF5Total,lsF5,f5AwayRunLine,f5Total,modelF5AwayWinPct,modelF5HomeWinPct,modelF5AwayRLCoverPct,modelF5AwayScore,modelF5HomeScore,modelF5OverRate,stored_f5MlResult,derived_f5MlResult,f5Ml_status,stored_f5MlCorrect,derived_f5MlCorrect,stored_f5RlResult,derived_f5Rl_probConv,derived_f5Rl_marginConv,f5Rl_status,f5Rl_convDisagree,stored_f5RlCorrect,derived_f5RlCorrect_probConv,derived_f5RlCorrect_marginConv,stored_f5TotalResult,derived_f5TotalResult,f5Total_status,stored_f5TotalCorrect,derived_f5TotalCorrect,stored_brierF5Ml,derived_brierF5Ml_away,derived_brierF5Ml_home,brierF5Ml_status,stored_brierF5Total,derived_brierF5Total,brierF5Total_status,f5BacktestRunAt
2250048,2026-03-29,WSH@CHC 2026-03-29,824700,3,2,5,3-2,1.5,5.5,33.95,50.52,40.16,2.04,2.71,0.41,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,1,1,0.43626,0.43626,0.255227,match-away-base,0.1681,0.1681,match,1784992359459
2250049,2026-03-29,CLE@SEA 2026-03-29,823160,0,6,6,0-6,0.5,4.5,40.84,42.85,48.78,2.14,2.22,0.48,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,0,0,0.166791,0.166791,0.326612,match-away-base,0.2704,0.2704,match,1784992359459
2250050,2026-03-30,MIN@KC 2026-03-30,824135,1,2,3,1-2,0.5,5.5,42,40.92,50.74,2.01,1.96,0.25,WIN,WIN,match,1,1,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,UNDER,UNDER,match,1,1,0.1764,0.1764,0.349045,match-away-base,0.0625,0.0625,match,1784992359459
2250051,2026-03-30,TEX@BAL 2026-03-30,824863,4,2,6,4-2,0.5,5.5,42.24,42.07,50,2.36,2.35,0.4,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,OVER,OVER,match,0,0,0.333622,0.333622,0.176988,match-away-base,0.36,0.36,match,1784992359459
2250052,2026-03-30,PIT@CIN 2026-03-30,824539,0,2,2,0-2,0.5,4.5,40.66,43.03,48.54,2.14,2.23,0.42,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,UNDER,UNDER,match,1,1,0.165324,0.165324,0.324558,match-away-base,0.1764,0.1764,match,1784992359459
2250053,2026-03-30,WSH@PHI 2026-03-30,823484,7,2,9,7-2,0.5,5.5,41.81,43.9,48.78,2.84,2.94,0.53,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,OVER,OVER,match,1,1,0.338608,0.338608,0.192721,match-away-base,0.2209,0.2209,match,1784992359459
2250054,2026-03-30,CWS@MIA 2026-03-30,823890,8,3,11,8-3,0.5,4.5,41.68,42.57,49.5,2.32,2.36,0.46,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,OVER,OVER,match,0,0,0.340122,0.340122,0.18122,match-away-base,0.2916,0.2916,match,1784992359459
2250055,2026-03-30,COL@TOR 2026-03-30,822834,2,1,3,2-1,1.5,4.5,35.59,50.15,41.49,2.5,3.16,0.57,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,0,0,0.414865,0.414865,0.251502,match-away-base,0.3249,0.3249,match,1784992359459
2250056,2026-03-30,ATH@ATL 2026-03-30,824943,0,3,3,0-3,0.5,4.5,43.09,41.15,51.22,2.38,2.3,0.4,WIN,WIN,match,1,1,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,UNDER,UNDER,match,1,1,0.185675,0.185675,0.346332,match-away-base,0.16,0.16,match,1784992359459
2250057,2026-03-30,LAA@CHC 2026-03-30,824702,0,6,6,0-6,0.5,5.5,39.6,44.65,46.95,2.24,2.45,0.34,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,0,0,0.156816,0.156816,0.306362,match-away-base,0.4356,0.4356,match,1784992359459
2250058,2026-03-30,TB@MIL 2026-03-30,823809,1,0,1,1-0,0.5,4.5,40.04,45.03,47.17,2.48,2.69,0.52,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,0,0,0.35952,0.35952,0.20277,match-away-base,0.2704,0.2704,match,1784992359459
2250059,2026-03-30,NYM@STL 2026-03-30,823080,2,1,3,2-1,-0.5,4.5,43.86,40.28,52.15,2.38,2.23,0.39,LOSS,LOSS,match,0,0,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,UNDER,UNDER,match,1,1,0.31517,0.31517,0.162248,match-away-base,0.1521,0.1521,match,1784992359459
2250060,2026-03-30,BOS@HOU 2026-03-30,824214,0,4,4,0-4,-0.5,4.5,49.2,36.18,57.63,2.98,2.4,0.54,WIN,WIN,match,1,1,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,UNDER,UNDER,match,0,0,0.242064,0.242064,0.407299,match-away-base,0.2916,0.2916,match,1784992359459
2250061,2026-03-30,SF@SD 2026-03-30,823320,3,0,3,3-0,-0.5,4.5,40.16,44.19,47.62,2.27,2.43,0.46,LOSS,LOSS,match,0,0,LOSS,LOSS,LOSS,match-both-conv,0,0,0,0,UNDER,UNDER,match,1,1,0.358083,0.358083,0.195276,match-away-base,0.2116,0.2116,match,1784992359459
