gameId,gamePk,gameDate,month,away,home,series,market,prob,proj_value,proj_exp,line,actual_f5_away,actual_f5_home,actual_value,actual_side,pick,pick_alt,result,correct,correct_alt,brier,brier_abs,logloss,signed_error,signed_error_exp,is_push,graded,has_proj,has_line,has_actual,actual_src,quarantined,line_source_match
2250012,824218,2026-03-26,2026-03,LAA,HOU,wf-19288f01-p1,f5_ml,0.3621,,,+142,0.0,0.0,TIE,PUSH,HOME,HOME,PUSH,,,,0.13111641,,,,1,1,1,1,1,games,0,
2250012,824218,2026-03-26,2026-03,LAA,HOU,wf-19288f01-p1,f5_rl,0.5286,,,0.5,0.0,0.0,AWAY,AWAY,AWAY,,WIN,1,,0.22221796000000005,,0.6375232768119483,,,0,1,1,1,1,games,0,
2250012,824218,2026-03-26,2026-03,LAA,HOU,wf-19288f01-p1,f5_total,0.4193,4.39,4.39,4.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.17581249000000002,,0.5435210066041328,4.39,4.39,0,1,1,1,1,games,0,1
2250012,824218,2026-03-26,2026-03,LAA,HOU,wf-19288f01-p2,f5_ml,0.3621,,,+142,0.0,0.0,TIE,PUSH,HOME,HOME,PUSH,,,,0.13111641,,,,1,1,1,1,1,games,0,
2250012,824218,2026-03-26,2026-03,LAA,HOU,wf-19288f01-p2,f5_rl,0.5286,,,0.5,0.0,0.0,AWAY,AWAY,AWAY,,WIN,1,,0.22221796000000005,,0.6375232768119483,,,0,1,1,1,1,games,0,
2250012,824218,2026-03-26,2026-03,LAA,HOU,wf-19288f01-p2,f5_total,0.4193,4.39,4.39,4.5,0.0,0.0,0.0,UNDER,UNDER,,WIN,1,,0.17581249000000002,,0.5435210066041328,4.39,4.39,0,1,1,1,1,games,0,1
2250013,823325,2026-03-26,2026-03,DET,SD,live,f5_ml,0.4244,,,-148,8.0,0.0,AWAY,AWAY,HOME,AWAY,LOSS,0,1,0.33131536,0.33131536,0.8570788722423089,,,0,1,1,1,1,games,1,
2250013,823325,2026-03-26,2026-03,DET,SD,live,f5_rl,0.5146000000000001,,,-0.5,8.0,0.0,AWAY,AWAY,AWAY,,WIN,1,,0.23561315999999993,,0.6643653791344931,,,0,1,1,1,1,games,1,
2250013,823325,2026-03-26,2026-03,DET,SD,live,f5_total,0.4,4.0,3.7800000000000002,3.5,8.0,0.0,8.0,OVER,UNDER,,LOSS,0,,0.36,,0.916290731874155,-4.0,-4.22,0,1,1,1,1,games,1,0
2250013,823325,2026-03-26,2026-03,DET,SD,wf-19288f01-p1,f5_ml,0.4343,,,-148,8.0,0.0,AWAY,AWAY,HOME,AWAY,LOSS,0,1,0.32001649,0.32001649,0.8340197394413608,,,0,1,1,1,1,games,0,
2250013,823325,2026-03-26,2026-03,DET,SD,wf-19288f01-p1,f5_rl,0.625,,,-0.5,8.0,0.0,AWAY,AWAY,AWAY,,WIN,1,,0.140625,,0.4700036292457356,,,0,1,1,1,1,games,0,
2250013,823325,2026-03-26,2026-03,DET,SD,wf-19288f01-p1,f5_total,0.3729,3.574,3.574,3.5,8.0,0.0,8.0,OVER,UNDER,,LOSS,0,,0.39325441,,0.9864449917973619,-4.426,-4.426,0,1,1,1,1,games,0,0
2250013,823325,2026-03-26,2026-03,DET,SD,wf-19288f01-p2,f5_ml,0.4343,,,-148,8.0,0.0,AWAY,AWAY,HOME,AWAY,LOSS,0,1,0.32001649,0.32001649,0.8340197394413608,,,0,1,1,1,1,games,0,
2250013,823325,2026-03-26,2026-03,DET,SD,wf-19288f01-p2,f5_rl,0.625,,,-0.5,8.0,0.0,AWAY,AWAY,AWAY,,WIN,1,,0.140625,,0.4700036292457356,,,0,1,1,1,1,games,0,
2250013,823325,2026-03-26,2026-03,DET,SD,wf-19288f01-p2,f5_total,0.3729,3.574,3.574,3.5,8.0,0.0,8.0,OVER,UNDER,,LOSS,0,,0.39325441,,0.9864449917973619,-4.426,-4.426,0,1,1,1,1,games,0,0
2250014,823081,2026-03-26,2026-03,TB,STL,live,f5_ml,0.44409999999999994,,,-142,1.0,1.0,TIE,PUSH,HOME,AWAY,PUSH,,,,0.19722480999999994,,,,1,1,1,1,1,games,1,
2250014,823081,2026-03-26,2026-03,TB,STL,live,f5_rl,0.5283,,,-0.5,1.0,1.0,HOME,HOME,AWAY,,LOSS,0,,0.27910089,,0.751412088691921,,,0,1,1,1,1,games,1,
2250014,823081,2026-03-26,2026-03,TB,STL,live,f5_total,0.45,4.5,4.65,4.5,1.0,1.0,2.0,UNDER,UNDER,,WIN,1,,0.2025,,0.5978370007556204,2.5,2.6500000000000004,0,1,1,1,1,games,1,1
2250014,823081,2026-03-26,2026-03,TB,STL,wf-19288f01-p1,f5_ml,0.4426,,,-142,1.0,1.0,TIE,PUSH,HOME,AWAY,PUSH,,,,0.19589476,,,,1,1,1,1,1,games,0,
2250014,823081,2026-03-26,2026-03,TB,STL,wf-19288f01-p1,f5_rl,0.6162,,,-0.5,1.0,1.0,HOME,HOME,AWAY,,LOSS,0,,0.37970244,,0.9576336954085375,,,0,1,1,1,1,games,0,
2250014,823081,2026-03-26,2026-03,TB,STL,wf-19288f01-p1,f5_total,0.3823,4.12,4.12,4.5,1.0,1.0,2.0,UNDER,UNDER,,WIN,1,,0.14615329,,0.48175237628028356,2.12,2.12,0,1,1,1,1,games,0,1
2250014,823081,2026-03-26,2026-03,TB,STL,wf-19288f01-p2,f5_ml,0.4426,,,-142,1.0,1.0,TIE,PUSH,HOME,AWAY,PUSH,,,,0.19589476,,,,1,1,1,1,1,games,0,
2250014,823081,2026-03-26,2026-03,TB,STL,wf-19288f01-p2,f5_rl,0.6162,,,-0.5,1.0,1.0,HOME,HOME,AWAY,,LOSS,0,,0.37970244,,0.9576336954085375,,,0,1,1,1,1,games,0,
2250014,823081,2026-03-26,2026-03,TB,STL,wf-19288f01-p2,f5_total,0.3823,4.12,4.12,4.5,1.0,1.0,2.0,UNDER,UNDER,,WIN,1,,0.14615329,,0.48175237628028356,2.12,2.12,0,1,1,1,1,games,0,1
2250015,823486,2026-03-26,2026-03,TEX,PHI,live,f5_ml,0.4022,,,+124,0.0,5.0,HOME,HOME,HOME,HOME,WIN,1,1,0.16176484,0.16176484,0.5144990291322996,,,0,1,1,1,1,games,1,
2250015,823486,2026-03-26,2026-03,TEX,PHI,live,f5_rl,0.4808,,,0.5,0.0,5.0,HOME,HOME,HOME,,WIN,1,,0.23116864,,0.6554661135922568,,,0,1,1,1,1,games,1,
