gameId,gameDate,p1_projF5Total,p1_projTotal,ratio_p1,ratio_p2,ratio_p2_minus_p1,outside_engine_bounds
2250220,2026-04-12,4.548,8.53,0.53318,0.53318,0.0,0
2250221,2026-04-12,4.614,8.56,0.53902,0.53902,0.0,0
2250222,2026-04-12,4.505,8.53,0.52814,0.52814,0.0,0
2250223,2026-04-13,4.15,7.85,0.52866,0.52866,0.0,0
2250224,2026-04-13,4.877,9.18,0.53126,0.53126,0.0,0
2250225,2026-04-13,5.01,9.25,0.54162,0.54162,0.0,0
2250226,2026-04-13,5.313,9.84,0.53994,0.53994,0.0,0
2250227,2026-04-13,4.687,8.84,0.5302,0.5302,0.0,0
2250228,2026-04-13,4.531,8.43,0.53749,0.53749,0.0,0
2250229,2026-04-13,4.247,7.99,0.53154,0.53154,0.0,0
2250230,2026-04-13,6.709,12.43,0.53974,0.53974,0.0,0
2250231,2026-04-13,5.239,9.65,0.5429,0.5429,0.0,0
2250232,2026-04-14,4.849,9.08,0.53403,0.53403,0.0,0
2250233,2026-04-14,4.289,8.15,0.52626,0.52626,0.0,0
2250234,2026-04-14,5.144,9.5,0.54147,0.54147,0.0,0
2250235,2026-04-14,5.044,9.34,0.54004,0.54004,0.0,0
2250236,2026-04-14,4.868,9.03,0.53909,0.53909,0.0,0
2250237,2026-04-14,4.472,8.44,0.52986,0.52986,0.0,0
2250238,2026-04-14,5.218,9.59,0.54411,0.54411,0.0,0
2250239,2026-04-14,4.267,8.09,0.52744,0.52744,0.0,0
2250240,2026-04-14,3.591,6.77,0.53043,0.53043,0.0,0
2250241,2026-04-14,3.759,7.2,0.52208,0.52208,0.0,0
2250242,2026-04-14,5.721,10.7,0.53467,0.53467,0.0,0
2250243,2026-04-14,3.488,6.63,0.52609,0.52609,0.0,0
2250244,2026-04-14,4.548,8.55,0.53193,0.53193,0.0,0
2250245,2026-04-14,4.02,7.49,0.53672,0.53672,0.0,0
2250246,2026-04-15,4.893,9.15,0.53475,0.53475,0.0,0
2250247,2026-04-15,4.975,9.24,0.53842,0.53842,0.0,0
2250248,2026-04-15,4.247,7.96,0.53354,0.53354,0.0,0
2250249,2026-04-15,5.69,10.62,0.53578,0.53578,0.0,0
2250250,2026-04-15,4.808,8.99,0.53482,0.53482,0.0,0
2250251,2026-04-15,4.569,8.44,0.54135,0.54135,0.0,0
2250252,2026-04-15,4.852,9.0,0.53911,0.53911,0.0,0
2250253,2026-04-15,4.813,9.08,0.53007,0.53007,0.0,0
2250254,2026-04-15,4.014,7.65,0.52471,0.52471,0.0,0
2250255,2026-04-15,4.557,8.48,0.53738,0.53738,0.0,0
2250256,2026-04-15,4.968,9.3,0.53419,0.53419,0.0,0
2250257,2026-04-15,3.427,6.52,0.52561,0.52561,0.0,0
2250258,2026-04-15,5.487,10.23,0.53636,0.53636,0.0,0
2250259,2026-04-15,3.941,7.38,0.53401,0.53401,0.0,0
2250260,2026-04-16,4.118,7.82,0.5266,0.5266,0.0,0
2250261,2026-04-16,4.48,8.38,0.53461,0.53461,0.0,0
2250262,2026-04-16,3.403,6.52,0.52193,0.52193,0.0,0
2250263,2026-04-16,4.441,8.3,0.53506,0.53506,0.0,0
2250264,2026-04-16,5.434,9.94,0.54668,0.54668,0.0,0
2250265,2026-04-16,3.974,7.55,0.52636,0.52636,0.0,0
2250266,2026-04-16,6.774,12.44,0.54453,0.54453,0.0,0
2250267,2026-04-16,4.097,7.78,0.52661,0.52661,0.0,0
2250268,2026-04-16,4.828,9.05,0.53348,0.53348,0.0,0
2250269,2026-04-16,4.6,8.6,0.53488,0.53488,0.0,0
2250270,2026-04-17,4.847,9.02,0.53736,0.53736,0.0,0
2250271,2026-04-17,5.548,10.33,0.53708,0.53708,0.0,0
2250272,2026-04-17,5.617,10.28,0.5464,0.5464,0.0,0
2250273,2026-04-17,5.767,10.71,0.53847,0.53847,0.0,0
2250274,2026-04-17,4.766,8.93,0.53371,0.53371,0.0,0
2250275,2026-04-17,3.753,7.07,0.53083,0.53083,0.0,0
2250276,2026-04-17,4.562,8.5,0.53671,0.53671,0.0,0
2250277,2026-04-17,4.685,8.73,0.53666,0.53666,0.0,0
2250278,2026-04-17,5.016,9.42,0.53248,0.53248,0.0,0
2250279,2026-04-17,4.427,8.31,0.53273,0.53273,0.0,0
2250280,2026-04-17,5.287,9.72,0.54393,0.54393,0.0,0
2250281,2026-04-17,4.614,8.69,0.53096,0.53096,0.0,0
2250282,2026-04-17,3.616,6.88,0.52558,0.52558,0.0,0
2250283,2026-04-17,5.065,9.52,0.53204,0.53204,0.0,0
2250284,2026-04-18,4.758,8.85,0.53763,0.53763,0.0,0
2250285,2026-04-18,4.924,9.2,0.53522,0.53522,0.0,0
2250286,2026-04-18,4.621,8.56,0.53984,0.53984,0.0,0
2250287,2026-04-18,5.949,11.05,0.53837,0.53837,0.0,0
2250288,2026-04-18,3.991,7.57,0.52721,0.52721,0.0,0
2250289,2026-04-18,5.66,10.55,0.53649,0.53649,0.0,0
2250290,2026-04-18,4.728,8.74,0.54096,0.54096,0.0,0
2250291,2026-04-18,4.031,7.58,0.53179,0.53179,0.0,0
2250292,2026-04-18,4.026,7.61,0.52904,0.52904,0.0,0
2250293,2026-04-18,4.828,9.06,0.53289,0.53289,0.0,0
2250294,2026-04-18,3.924,7.44,0.52742,0.52742,0.0,0
2250295,2026-04-18,4.735,8.81,0.53746,0.53746,0.0,0
2250296,2026-04-18,7.518,13.65,0.55077,0.55077,0.0,0
2250297,2026-04-18,5.5,10.18,0.54028,0.54028,0.0,0
2250298,2026-04-19,4.875,9.05,0.53867,0.53867,0.0,0
2250299,2026-04-19,5.078,9.48,0.53565,0.53565,0.0,0
2250300,2026-04-19,4.162,7.87,0.52884,0.52884,0.0,0
2250301,2026-04-19,4.952,9.18,0.53943,0.53943,0.0,0
2250302,2026-04-19,3.965,7.5,0.52867,0.52867,0.0,0
2250303,2026-04-19,4.559,8.43,0.54081,0.54081,0.0,0
2250304,2026-04-19,5.528,10.28,0.53774,0.53774,0.0,0
2250305,2026-04-19,5.339,9.94,0.53712,0.53712,0.0,0
2250306,2026-04-19,5.14,9.46,0.54334,0.54334,0.0,0
2250307,2026-04-19,8.176,14.83,0.55131,0.55131,0.0,0
2250308,2026-04-19,4.998,9.42,0.53057,0.53057,0.0,0
2250309,2026-04-19,4.314,8.05,0.5359,0.5359,0.0,0
2250310,2026-04-19,3.36,6.45,0.52093,0.52093,0.0,0
2250311,2026-04-19,4.776,8.88,0.53784,0.53784,0.0,0
2250312,2026-04-20,4.5,8.38,0.53699,0.53699,0.0,0
2250313,2026-04-20,4.484,8.41,0.53317,0.53317,0.0,0
2250314,2026-04-20,4.564,8.53,0.53505,0.53505,0.0,0
2250315,2026-04-20,4.077,7.69,0.53017,0.53017,0.0,0
2250316,2026-04-20,5.326,9.85,0.54071,0.54071,0.0,0
2250317,2026-04-20,4.549,8.57,0.53081,0.53081,0.0,0
2250318,2026-04-20,4.49,8.37,0.53644,0.53644,0.0,0
2250319,2026-04-20,5.309,9.72,0.54619,0.54619,0.0,0
2250320,2026-04-20,4.05,7.63,0.5308,0.5308,0.0,0
