gameId,gameDate,p1_pF5AwayMl,p1_pF5AwayRl,p2_pF5AwayRl,implied_tie_raw,implied_away_raw,actualF5Away,actualF5Home,f5_margin_home_minus_away,away_p05_cover,f5_tie,live_awayRl01,live_pred_prefix,live_pred_postfix,live_class,live_understatement_vs_postfix
2250132,2026-04-05,0.4562,0.6167,0.6167,0.16321,0.45349,1.0,0.0,-1.0,1,0,0.5146,0.51529,0.6005,prefix,0.0859
2250133,2026-04-05,0.445,0.6071,0.6071,0.16516,0.44194,5.0,6.0,1.0,0,0,0.5885,0.58853,0.65193,prefix,0.06343
2250134,2026-04-05,0.4425,0.61,0.61,0.17201,0.43799,4.0,2.0,-2.0,1,0,0.5349,0.53429,0.6095,prefix,0.0746
2250135,2026-04-06,0.4487,0.6094,0.6094,0.16341,0.44599,2.0,4.0,2.0,0,0,0.5349,0.53573,0.61205,prefix,0.07715
2250136,2026-04-06,0.4261,0.5999,0.5999,0.17975,0.42015,1.0,1.0,0.0,1,1,0.4831,0.48302,0.57458,prefix,0.09148
2250137,2026-04-06,0.3281,0.4781,0.4781,0.14987,0.32823,3.0,0.0,-3.0,1,0,0.431,0.43108,0.52894,prefix,0.09794
2250138,2026-04-06,0.4153,0.5849,0.5849,0.17429,0.41061,1.0,0.0,-1.0,1,0,0.4831,0.48394,0.56914,prefix,0.08604
2250139,2026-04-06,0.4007,0.5479,0.5479,0.14639,0.40151,1.0,2.0,1.0,0,0,0.4717,0.47078,0.55096,prefix,0.07926
2250140,2026-04-06,0.4547,0.6282,0.6282,0.17988,0.44832,5.0,5.0,0.0,1,1,0.5495,0.55046,0.62203,prefix,0.07253
2250141,2026-04-06,0.483,0.6365,0.6365,0.15433,0.48217,6.0,1.0,-5.0,1,0,0.5833,0.58372,0.63988,prefix,0.05658
2250142,2026-04-06,0.3916,0.5516,0.5516,0.16212,0.38948,3.0,5.0,2.0,0,0,0.5,0.50118,0.5776,prefix,0.0776
2250143,2026-04-06,0.41,0.5704,0.5704,0.16275,0.40765,1.0,0.0,-1.0,1,0,0.495,0.49386,0.57879,prefix,0.08379
2250144,2026-04-06,0.3632,0.5397,0.5397,0.18197,0.35773,1.0,1.0,0.0,1,1,0.5074,0.50739,0.6072,prefix,0.0998
2250145,2026-04-06,0.3693,0.4876,0.4876,0.1117,0.3759,3.0,8.0,5.0,0,0,0.5475,0.54675,0.60545,prefix,0.05795
2250146,2026-04-06,0.4402,0.6352,0.6352,0.2072,0.428,1.0,6.0,5.0,0,0,0.5763,0.57682,0.64377,prefix,0.06747
2250147,2026-04-06,0.4155,0.5804,0.5804,0.16841,0.41199,2.0,4.0,2.0,0,0,0.5283,0.5279,0.61165,prefix,0.08335
2250148,2026-04-07,0.4038,0.593,0.593,0.19864,0.39436,1.0,1.0,0.0,1,1,0.5169,0.51664,0.60568,prefix,0.08878
2250149,2026-04-07,0.4056,0.58,0.58,0.18014,0.39986,0.0,2.0,2.0,0,0,0.5146,0.51455,0.61038,prefix,0.09578
2250150,2026-04-07,0.4198,0.585,0.585,0.16883,0.41617,4.0,0.0,-4.0,1,0,0.5261,0.52708,0.60426,prefix,0.07816
2250151,2026-04-07,0.3211,0.5063,0.5063,0.19156,0.31474,0.0,2.0,2.0,0,0,0.5146,0.51433,0.59689,prefix,0.08229
