gameId,gameDate,month,awayTeam,homeTeam,mlbGamePk,actualAway,actualHome,fg_actual_source,actualF5Away,actualF5Home,f5_actual_source,book_f5Total,book_f5AwayRunLine,book_f5AwayML,book_bookTotal,live_pushPct,live_pushRaw,live_awayWinPct,live_homeWinPct,live_awayRlCoverPct,p1_pF5AwayMl,p1_projF5Total,p1_pF5Over,p1_pF5AwayRl,p1_projTotal,p1_projAwayScore,p1_projHomeScore,p1_pAwayMl,p1_pOver,p2_pF5AwayMl,p2_projF5Total,p2_pF5Over,p2_pF5AwayRl,p2_projTotal,calib_month,calib_seed,calib_league_env_mult,calib_T_f5,calib_f5_total_sd
2250062,2026-03-30,2026-03,NYY,SEA,823159,1,2,games,0,1,games,4.5,-0.5,-116,7.5,0.1630,0.1712,39.70,44.00,47.39,0.42600,3.933,0.42510,0.60400,7.360,3.540,3.820,0.44260,0.42170,0.42600,3.933,0.42510,0.60400,7.360,2026-03,True,1.0,1.0,2.9
2250063,2026-03-30,2026-03,CLE,LAD,823972,4,2,games,1,0,games,4.5,0.5,+120,9.0,0.1586,0.1639,37.66,46.48,44.84,0.41920,4.824,0.41650,0.57530,8.970,4.270,4.700,0.43270,0.44180,0.41920,4.824,0.41650,0.57530,8.970,2026-03,True,1.0,1.0,2.9
2250064,2026-03-31,2026-03,TEX,BAL,824861,8,5,games,3,3,games,4.5,-0.5,-150,8.5,0.1477,0.1458,52.62,32.61,61.69,0.49240,5.006,0.49820,0.64340,9.290,4.960,4.330,0.52190,0.51440,0.49240,5.006,0.49820,0.64340,9.290,2026-03,True,1.0,1.0,2.9
2250065,2026-03-31,2026-03,PIT,CIN,824537,8,3,games,6,1,games,4.5,-0.5,-130,9.0,0.1655,0.1753,43.40,40.05,51.92,0.44520,4.219,0.33980,0.61560,7.950,4.010,3.940,0.47630,0.35390,0.44520,4.219,0.33980,0.61560,7.950,2026-03,True,1.0,1.0,2.9
2250066,2026-03-31,2026-03,WSH,PHI,823485,2,3,games,0,3,games,5.5,0.5,+138,9.5,0.1432,0.1382,35.98,49.70,42.02,0.40190,5.017,0.38050,0.55370,9.370,4.320,5.050,0.40990,0.42940,0.40190,5.017,0.38050,0.55370,9.370,2026-03,True,1.0,1.0,2.9
2250067,2026-03-31,2026-03,CWS,MIA,823888,2,9,games,2,4,games,4.5,0.5,+130,8.5,0.1556,0.1589,35.58,48.86,42.19,0.37750,4.393,0.41990,0.54420,8.330,3.700,4.630,0.38520,0.43220,0.37750,4.393,0.41990,0.54420,8.330,2026-03,True,1.0,1.0,2.9
2250068,2026-03-31,2026-03,COL,TOR,822836,1,5,games,0,2,games,4.5,,+176,8.0,0.1434,0.1385,41.31,44.35,48.31,0.43260,5.303,0.53420,0.58000,9.900,4.820,5.080,0.44910,0.59910,0.43260,5.303,0.53420,0.58000,9.900,2026-03,True,1.0,1.0,2.9
2250069,2026-03-31,2026-03,ATH,ATL,824942,5,2,games,5,2,games,5.5,0.5,+116,9.0,0.1594,0.1653,38.29,45.77,45.45,0.36550,4.607,0.38850,0.52620,8.690,3.720,4.980,0.35960,0.41900,0.36550,4.607,0.38850,0.52620,8.690,2026-03,True,1.0,1.0,2.9
2250070,2026-03-31,2026-03,LAA,CHC,824699,2,0,games,0,0,games,,,,7.0,0.1621,0.1697,36.73,47.06,43.86,0.38910,4.465,0.49690,0.55370,8.390,3.770,4.610,0.39430,0.57030,0.38910,4.465,0.49690,0.55370,8.390,2026-03,True,1.0,1.0,2.9
2250071,2026-03-31,2026-03,TB,MIL,823807,2,6,games,2,3,games,,,,7.5,0.1530,0.1545,38.02,46.68,44.84,0.38390,4.159,0.45640,0.55770,7.810,3.530,4.280,0.39860,0.46480,0.38390,4.159,0.45640,0.55770,7.810,2026-03,True,1.0,1.0,2.9
2250072,2026-03-31,2026-03,NYM,STL,823077,0,3,games,0,2,games,,,,8.5,0.1496,0.1489,47.85,37.19,56.33,0.45870,4.529,0.43710,0.62120,8.470,4.250,4.210,0.47220,0.44400,0.45870,4.529,0.43710,0.62120,8.470,2026-03,True,1.0,1.0,2.9
2250073,2026-03-31,2026-03,BOS,HOU,824212,2,9,games,1,6,games,,,,7.5,0.1607,0.1674,40.47,43.46,48.31,0.38660,4.399,0.48860,0.55420,8.270,3.670,4.600,0.38650,0.50630,0.38660,4.399,0.48860,0.55420,8.270,2026-03,True,1.0,1.0,2.9
2250074,2026-03-31,2026-03,SF,SD,823322,9,3,games,4,3,games,,,,7.5,0.1546,0.1571,47.44,37.10,56.14,0.48980,4.626,0.51700,0.64910,8.630,4.630,4.000,0.52470,0.53740,0.48980,4.626,0.51700,0.64910,8.630,2026-03,True,1.0,1.0,2.9
2250075,2026-03-31,2026-03,NYY,SEA,823158,5,0,games,2,0,games,,,,7.0,0.1688,0.1809,44.62,38.50,53.70,0.43710,3.660,0.38580,0.62450,6.880,3.410,3.480,0.46220,0.42990,0.43710,3.660,0.38580,0.62450,6.880,2026-03,True,1.0,1.0,2.9
2250076,2026-03-31,2026-03,CLE,LAD,823969,1,4,games,0,1,games,,,,8.0,0.1673,0.1784,35.93,47.34,43.10,0.36410,4.606,0.44690,0.52540,8.610,3.730,4.880,0.36810,0.49620,0.36410,4.606,0.44690,0.52540,8.610,2026-03,True,1.0,1.0,2.9
2250077,2026-04-01,2026-04,ATH,ATL,824940,1,5,games,1,5,games,4.5,0.5,+182,7.5,0.1630,0.1713,38.26,45.44,45.66,0.36410,4.492,0.50070,0.52840,8.480,3.630,4.850,0.36230,0.52500,0.36410,4.492,0.50070,0.52840,8.480,2026-04,True,1.0,1.0,2.9
2250078,2026-04-01,2026-04,TEX,BAL,824860,3,8,games,2,7,games,4.5,0.5,-110,8.5,0.1705,0.1837,41.00,41.96,49.50,0.41790,4.101,0.38080,0.59200,7.710,3.710,4.010,0.44070,0.37740,0.41790,4.101,0.38080,0.59200,7.710,2026-04,True,1.0,1.0,2.9
2250079,2026-04-01,2026-04,PIT,CIN,824536,8,3,games,3,1,games,3.5,-0.5,-172,7.5,0.1691,0.1813,42.84,40.25,51.46,0.43110,4.014,0.43650,0.60870,7.590,3.770,3.820,0.46450,0.44340,0.43110,4.014,0.43650,0.60870,7.590,2026-04,True,1.0,1.0,2.9
2250080,2026-04-01,2026-04,WSH,PHI,823483,5,6,games,1,1,games,4.5,1.5,+210,8.0,0.1473,0.1450,31.11,54.16,36.50,0.35260,5.026,0.50030,0.50350,9.390,3.960,5.430,0.35020,0.55920,0.35260,5.026,0.50030,0.50350,9.390,2026-04,True,1.0,1.0,2.9
2250081,2026-04-01,2026-04,COL,TOR,822835,2,1,games,0,1,games,4.5,1.5,+205,7.5,0.1592,0.1648,36.00,48.08,42.74,0.39750,4.696,0.52660,0.55720,8.820,4.080,4.740,0.41310,0.55420,0.39750,4.696,0.52660,0.55720,8.820,2026-04,True,1.0,1.0,2.9
2250082,2026-04-01,2026-04,CWS,MIA,823889,0,10,games,0,8,games,4.5,0.5,+116,7.5,0.1632,0.1716,39.91,43.76,47.62,0.42620,4.238,0.46710,0.59680,8.030,3.930,4.100,0.45520,0.48600,0.42620,4.238,0.46710,0.59680,8.030,2026-04,True,1.0,1.0,2.9
2250083,2026-04-01,2026-04,NYM,STL,823078,1,2,games,0,0,games,4.5,-0.5,-168,7.5,0.1573,0.1616,47.15,37.13,55.95,0.45730,4.151,0.45520,0.62960,7.780,3.950,3.830,0.48130,0.46220,0.45730,4.151,0.45520,0.62960,7.780,2026-04,True,1.0,1.0,2.9
