gameId,month,book_line,p_stored_plus05,p_correct_for_book_event,y_book_event
2250130,2026-04,-0.5,0.554,0.4320608559428195,0.0
2250131,2026-04,-0.5,0.4969,0.37502399187036944,0.0
2250132,2026-04,0.5,0.6167,0.6167,1.0
2250133,2026-04,-0.5,0.6071,0.44193762319626034,0.0
2250134,2026-04,0.5,0.61,0.61,1.0
2250135,2026-04,0.5,0.6094,0.6094,0.0
2250136,2026-04,0.5,0.5999,0.5999,1.0
2250137,2026-04,0.5,0.4781,0.4781,1.0
2250138,2026-04,0.5,0.5849,0.5849,1.0
2250139,2026-04,0.5,0.5479,0.5479,0.0
2250140,2026-04,-0.5,0.6282,0.44831934150937,0.0
2250141,2026-04,-0.5,0.6365,0.48217274745872646,1.0
2250142,2026-04,0.5,0.5516,0.5516,0.0
2250143,2026-04,-0.5,0.5704,0.40765393770977537,1.0
2250144,2026-04,0.5,0.5397,0.5397,1.0
2250145,2026-04,-0.5,0.4876,0.3759017285348501,0.0
2250146,2026-04,-0.5,0.6352,0.4279989873407986,0.0
2250147,2026-04,-0.5,0.5804,0.4119905127629037,0.0
2250148,2026-04,-0.5,0.593,0.3943639657498006,0.0
2250149,2026-04,0.5,0.58,0.58,0.0
2250150,2026-04,0.5,0.585,0.585,1.0
2250151,2026-04,0.5,0.5063,0.5063,0.0
2250152,2026-04,-0.5,0.6041,0.46193934688295857,0.0
2250153,2026-04,0.5,0.5898,0.5898,1.0
2250154,2026-04,0.5,0.4512,0.4512,1.0
2250155,2026-04,-0.5,0.5285,0.3347504286215084,1.0
2250156,2026-04,-0.5,0.6353,0.4490538196584639,0.0
2250157,2026-04,-0.5,0.6447,0.45313872351540807,0.0
2250158,2026-04,-0.5,0.582,0.37809183275406627,0.0
2250159,2026-04,-0.5,0.4887,0.3747101642818047,0.0
2250160,2026-04,-0.5,0.6484,0.4757516113150258,1.0
2250161,2026-04,-0.5,0.6396,0.44804267182143337,0.0
2250162,2026-04,-0.5,0.5641,0.3929155928841571,0.0
2250163,2026-04,-0.5,0.5494,0.37462899720172993,0.0
2250164,2026-04,0.5,0.5553,0.5553,0.0
2250165,2026-04,-0.5,0.6308,0.4511266015183325,0.0
2250166,2026-04,-0.5,0.6746,0.4536334285214033,0.0
2250167,2026-04,-0.5,0.6329,0.47342241856164746,0.0
2250168,2026-04,-0.5,0.5773,0.44914597349636876,0.0
2250169,2026-04,-0.5,0.5733,0.39450044826949887,0.0
2250170,2026-04,-0.5,0.655,0.5007621086220687,1.0
2250171,2026-04,-0.5,0.6137,0.42742551827506714,1.0
2250172,2026-04,0.5,0.5308,0.5308,1.0
2250173,2026-04,0.5,0.6052,0.6052,0.0
2250174,2026-04,0.5,0.5416,0.5416,1.0
2250175,2026-04,-0.5,0.6481,0.48724035148328637,0.0
2250176,2026-04,0.5,0.6681,0.6681,0.0
2250177,2026-04,0.5,0.6304,0.6304,1.0
2250178,2026-04,-0.5,0.6074,0.45988790633008847,0.0
2250179,2026-04,0.5,0.5314,0.5314,1.0
2250180,2026-04,0.5,0.5755,0.5755,1.0
2250181,2026-04,0.5,0.5609,0.5609,1.0
2250182,2026-04,0.5,0.5688,0.5688,0.0
2250183,2026-04,0.5,0.4602,0.4602,1.0
2250184,2026-04,0.5,0.5918,0.5918,0.0
2250185,2026-04,0.5,0.5003,0.5003,1.0
2250186,2026-04,-0.5,0.5566,0.3900290843945866,0.0
2250187,2026-04,0.5,0.5968,0.5968,1.0
2250188,2026-04,0.5,0.5341,0.5341,1.0
2250189,2026-04,0.5,0.5678,0.5678,0.0
2250190,2026-04,0.5,0.5078,0.5078,0.0
2250191,2026-04,-0.5,0.6393,0.46318463310679103,0.0
2250192,2026-04,0.5,0.6808,0.6808,0.0
2250193,2026-04,0.5,0.5111,0.5111,0.0
2250194,2026-04,-1.5,0.4692,,0.0
2250195,2026-04,0.5,0.6136,0.6136,0.0
2250196,2026-04,0.5,0.5693,0.5693,1.0
2250197,2026-04,-4.5,0.558,,1.0
2250198,2026-04,5.5,0.577,,1.0
2250199,2026-04,-2.5,0.5514,,1.0
2250200,2026-04,1.5,0.5122,,1.0
2250201,2026-04,-0.5,0.641,0.44179627041255115,0.0
2250202,2026-04,0.5,0.557,0.557,1.0
2250203,2026-04,-0.5,0.5747,0.42150279946264596,0.0
2250204,2026-04,-0.5,0.6428,0.4828801667858913,1.0
2250205,2026-04,0.5,0.6179,0.6179,1.0
2250206,2026-04,0.5,0.6277,0.6277,0.0
2250207,2026-04,0.5,0.5598,0.5598,0.0
2250208,2026-04,0.5,0.6127,0.6127,1.0
2250209,2026-04,0.5,0.5556,0.5556,0.0
2250210,2026-04,-0.5,0.6374,0.47596209564662195,1.0
2250211,2026-04,-0.5,0.6863,0.5090225626577589,1.0
2250212,2026-04,0.5,0.5831,0.5831,1.0
2250213,2026-04,0.5,0.6597,0.6597,0.0
2250214,2026-04,-0.5,0.6604,0.4664998085452281,0.0
2250215,2026-04,0.5,0.531,0.531,0.0
2250216,2026-04,0.5,0.5498,0.5498,0.0
2250217,2026-04,-0.5,0.581,0.39960678451278453,1.0
2250218,2026-04,0.5,0.6204,0.6204,1.0
2250219,2026-04,0.5,0.6478,0.6478,0.0
2250220,2026-04,0.5,0.5194,0.5194,0.0
2250221,2026-04,-0.5,0.6102,0.44665675039028657,1.0
2250222,2026-04,0.5,0.5003,0.5003,0.0
2250223,2026-04,0.5,0.498,0.498,0.0
2250224,2026-04,1.5,0.5588,,0.0
2250225,2026-04,0.5,0.5853,0.5853,0.0
2250226,2026-04,0.5,0.4953,0.4953,0.0
2250227,2026-04,0.5,0.4989,0.4989,1.0
2250228,2026-04,-0.5,0.625,0.45916829960054323,0.0
2250229,2026-04,-0.5,0.6511,0.47789727886206246,1.0
2250230,2026-04,-0.5,0.4972,0.3776432318110912,1.0
2250231,2026-04,0.5,0.5058,0.5058,0.0
2250232,2026-04,0.5,0.5419,0.5419,1.0
2250233,2026-04,0.5,0.5342,0.5342,1.0
2250234,2026-04,-0.5,0.6781,0.5311286376260693,0.0
2250235,2026-04,0.5,0.5444,0.5444,1.0
2250236,2026-04,0.5,0.5732,0.5732,1.0
2250237,2026-04,0.5,0.514,0.514,1.0
2250238,2026-04,-0.5,0.6807,0.535337293508296,0.0
2250239,2026-04,-0.5,0.5905,0.4160031333706564,1.0
2250240,2026-04,0.5,0.6498,0.6498,0.0
2250241,2026-04,-0.5,0.5536,0.360047150695215,0.0
2250242,2026-04,0.5,0.5087,0.5087,0.0
2250243,2026-04,-0.5,0.6514,0.4458971586473346,0.0
2250244,2026-04,-0.5,0.5624,0.3979875160559573,0.0
2250245,2026-04,0.5,0.6003,0.6003,1.0
2250246,2026-04,0.5,0.6429,0.6429,1.0
2250247,2026-04,-0.5,0.5859,0.4314306852641522,1.0
2250248,2026-04,1.5,0.6466,,1.0
2250249,2026-04,0.5,0.5733,0.5733,0.0
2250250,2026-04,5.5,0.5399,,0.0
2250251,2026-04,0.5,0.6469,0.6469,1.0
